t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,monitor_only,contact_stop,h_hard,softmin_gap,h_food,sampled_margin,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_post_filter_0,dq_post_filter_1,dq_post_filter_2,dq_post_filter_3,dq_post_filter_4,dq_post_filter_5,dq_post_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-0.0010000000474974513,0.07900000363588333,0.0,nan,6.707858085632324,0.01947302371263504,15.24156379699707,nan,nan,nan,nan,nan,4.395583164296113e-05,0.006174685433506966,0.0,1.0,0.0,0.0,nan,nan,nan,8.90275543952157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004231931641697884,3.0174851417541504e-05,0.003119988366961479,-0.0001418590545654297,-0.00029433678719215095,-2.1457672119140625e-05,0.00026345252990722656,-0.004231931641697884,3.0174851417541504e-05,0.003119988366961479,-0.0001418590545654297,-0.00029433678719215095,-2.1457672119140625e-05,0.00026345252990722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035266096238046885,-2.514570951461792e-05,-0.002599990228191018,0.00011821587395388633,0.0002452806511428207,1.7881393432617188e-05,-0.0002195437700720504,-0.0007053220178931952,5.029141902923584e-06,0.0005199981387704611,-2.3643180611543357e-05,-4.9056136049330235e-05,-3.5762786865234375e-06,4.390875983517617e-05,-0.0007053220178931952,5.029141902923584e-06,0.0005199981387704611,-2.3643180611543357e-05,-4.9056136049330235e-05,-3.5762786865234375e-06,4.390875983517617e-05,-0.0007053220178931952,5.029141902923584e-06,0.0005199981387704611,-2.3643180611543357e-05,-4.9056136049330235e-05,-3.5762786865234375e-06,4.390875983517617e-05
0.0589999999999975,0.08768801391124725,0.08768801391124725,nan,nan,nan,nan,0.15236951410770416,0.0,0.15239186584949493,0.5185595154762268,0.0,0.0,0.0,0.0,-0.0010000000474974513,0.00800000037997961,100.0,0.10316891968250275,1.168009877204895,0.013066455721855164,12.040226936340332,-1.8821512639988214e-05,-8.632037497591227e-05,0.1523243635892868,nan,0.9999526739120483,0.00015702233940828592,0.008133680559694767,9.0,1.0,0.0,0.0,0.08768800646066666,-7.450580596923828e-09,0.25,1.3677985180038377e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003627513302490115,1.3162720279069617e-05,0.0026852309238165617,-0.0001179839891847223,-0.0002703721693251282,-2.4242383005912416e-05,0.0002278323081554845,3.5242892408859916e-06,-0.00014285283396020532,-3.4791905818565283e-06,4.2792311433004215e-05,-2.995744807776646e-07,-0.00018594499852042645,1.4228429279228294e-07,0.0011107742320746183,-2.1155257854843512e-05,-0.0008245611097663641,4.1280887671746314e-05,8.637976134195924e-05,-1.7040774764609523e-05,-7.012116839177907e-05,-0.002516739070415497,-7.992537575773895e-06,0.0018606698140501976,-7.670310151297599e-05,-0.00018399240798316896,-4.128315777052194e-05,0.00015771113976370543,-0.002516739070415497,-7.992537575773895e-06,0.0018606698140501976,-7.670310151297599e-05,-0.00018399240798316896,-4.128315777052194e-05,0.00015771113976370543,-0.002516739070415497,-7.992537575773895e-06,0.0018606698140501976,-7.670310151297599e-05,-0.00018399240798316896,-4.128315777052194e-05,0.00015771113976370543
0.1319999999999979,0.08770060539245605,0.08770060539245605,nan,nan,nan,nan,0.15241985023021698,0.0,0.1524675339460373,0.5186740756034851,0.0,0.0,0.0,0.0,0.0020000000949949026,0.009999999776482582,100.0,0.10317278653383255,1.0264674425125122,0.011788681149482727,10.261953353881836,3.368211764609441e-05,5.933116699452512e-05,0.1524931937456131,0.001259148120880127,0.9977812170982361,0.00012564932694658637,0.003912073560059071,9.0,1.0,0.0,0.0,0.08770060539245605,0.0,0.25,4.880379265159718e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001239229692146182,4.496644123719307e-06,0.0009173277067020535,-4.0305647416971624e-05,-9.23644402064383e-05,-8.281674126919825e-06,7.783198816468939e-05,5.815442364109913e-06,-0.00014291472325567156,-5.709770448447671e-06,4.282202280592173e-05,-6.079101808609266e-07,-0.00018602564523462206,3.553458043370483e-07,-0.0007699641864746809,-9.713946201372892e-05,0.0005694393767043948,4.945006367051974e-06,-5.5715820053592324e-05,-0.0001359444431727752,4.7825473302509636e-05,-0.002009193878620863,-9.264281834475696e-05,0.0014867670834064484,-3.536064104991965e-05,-0.00014808026026003063,-0.00014422611275222152,0.00012565746146719903,-0.002009193878620863,-9.264281834475696e-05,0.0014867670834064484,-3.536064104991965e-05,-0.00014808026026003063,-0.00014422611275222152,0.00012565746146719903,-0.002009193878620863,-9.264281834475696e-05,0.0014867670834064484,-3.536064104991965e-05,-0.00014808026026003063,-0.00014422611275222152,0.00012565746146719903
0.23499999999999943,0.08800644427537918,0.08800644427537918,nan,nan,nan,nan,0.15299707651138306,0.0,0.153062641620636,0.5204570293426514,0.0,0.0,0.0,0.0,0.004000000189989805,0.02500000037252903,100.0,0.10339885950088501,9.336040496826172,0.01748744398355484,12.804717063903809,6.134230352472514e-05,9.131846127274912e-06,0.15301042795181274,0.012233555316925049,0.9839178919792175,6.043157554813661e-05,0.005573413800448179,9.0,1.0,0.0,0.0,0.08800643682479858,-7.450580596923828e-09,0.25,1.6681696024534176e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035715961712412536,1.295982428928255e-06,0.0002643839397933334,-1.1616531082836445e-05,-2.662044789758511e-05,-2.386869709880557e-06,2.2432035621022806e-05,1.1132984582218342e-05,-0.0001397052255924791,-1.0382841537648346e-05,4.415992952999659e-05,-1.313469738306594e-06,-0.00018411633209325373,1.3959441957922536e-06,-0.0005956863751634955,-0.0001262190198758617,0.0004409851098898798,2.064514410449192e-05,-4.384196290629916e-05,-0.00017283415945712477,3.745523645193316e-05,-0.0009528460213914514,-0.00012492304085753858,0.0007053690496832132,9.028612112160772e-06,-7.046241080388427e-05,-0.00017522102280054241,5.9887272072955966e-05,-0.0009528460213914514,-0.00012492304085753858,0.0007053690496832132,9.028612112160772e-06,-7.046241080388427e-05,-0.00017522102280054241,5.9887272072955966e-05,-0.0009528460213914514,-0.00012492304085753858,0.0007053690496832132,9.028612112160772e-06,-7.046241080388427e-05,-0.00017522102280054241,5.9887272072955966e-05
0.2919999999999945,0.08800459653139114,0.08800459653139114,nan,nan,nan,nan,0.15299683809280396,0.0,0.15306924283504486,0.520425021648407,0.0,0.0,0.0,0.0,0.0020000000949949026,0.01899999938905239,100.0,0.10339531302452087,0.5255444049835205,0.009017065167427063,10.242727279663086,7.071524305501953e-05,-1.4798681149841286e-05,0.15298372507095337,-9.724968549562618e-05,0.9419167041778564,3.390090569155291e-05,0.0033994209952652454,9.0,1.0,0.0,0.0,0.08800459653139114,0.0,0.25,4.62823450675387e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001426429080311209,5.175912747290567e-07,0.00010559003567323089,-4.6394266064453404e-06,-1.0631712029862683e-05,-9.532714670967835e-07,8.958938451542053e-06,-2.202224095526617e-05,-0.0001397372834617272,2.1779553208034486e-05,4.4236738176550716e-05,3.27810198541556e-06,-0.00018424801237415522,-2.0618729195120977e-06,-0.0003679539368022233,-0.00013390430831350386,0.00027580876485444605,3.103635026491247e-05,-2.4130484234774485e-05,-0.00018045707838609815,2.0967694581486285e-05,-0.0005105968448333442,-0.00013338671124074608,0.00038139880052767694,2.6396925022709183e-05,-3.476219717413187e-05,-0.000181410345248878,2.992663394252304e-05,-0.0005105968448333442,-0.00013338671124074608,0.00038139880052767694,2.6396925022709183e-05,-3.476219717413187e-05,-0.000181410345248878,2.992663394252304e-05,-0.0005105968448333442,-0.00013338671124074608,0.00038139880052767694,2.6396925022709183e-05,-3.476219717413187e-05,-0.000181410345248878,2.992663394252304e-05
0.33899999999999864,0.08772222697734833,0.08772222697734833,nan,nan,nan,nan,0.1524553745985031,0.0,0.15253081917762756,0.5195631384849548,0.0,0.0,0.0,0.0,0.0010000000474974513,0.01899999938905239,100.0,0.10348241776227951,0.7129125595092773,0.008974224328994751,11.921941757202148,7.544246909674257e-05,1.1150386853842065e-05,0.1524665206670761,-0.014861555770039558,1.0,1.9738425180548802e-05,0.0023071165196597576,9.0,1.0,0.0,0.0,0.08772221952676773,-7.450580596923828e-09,0.25,1.625903323088096e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-4.067780082550598e-06,-0.00014133781951386482,4.630918283510255e-06,4.37261005572509e-05,8.726822784410615e-07,-0.0001853376452345401,4.434664191421689e-08,-0.0002539580746088177,-0.00013757465058006346,0.00019038282334804535,3.527041553752497e-05,-1.6818845324451104e-05,-0.0001836684823501855,1.4853910215606447e-05,-0.0002539580746088177,-0.00013757465058006346,0.00019038282334804535,3.527041553752497e-05,-1.6818845324451104e-05,-0.0001836684823501855,1.4853910215606447e-05,-0.0002539580746088177,-0.00013757465058006346,0.00019038282334804535,3.527041553752497e-05,-1.6818845324451104e-05,-0.0001836684823501855,1.4853910215606447e-05,-0.0002539580746088177,-0.00013757465058006346,0.00019038282334804535,3.527041553752497e-05,-1.6818845324451104e-05,-0.0001836684823501855,1.4853910215606447e-05
0.4649999999999963,0.08773308247327805,0.08773308247327805,nan,nan,nan,nan,0.15247678756713867,0.0,0.15255512297153473,0.5195749998092651,0.0,0.0,0.0,0.0,0.003000000026077032,0.02800000086426735,100.0,0.10348781198263168,1.6966965198516846,0.011719763278961182,30.51070785522461,7.83426730777137e-05,7.085579272825271e-05,0.15254764258861542,0.0003876962582580745,1.0,1.284107202081941e-05,0.0008716817246749997,9.0,1.0,0.0,0.0,0.08773306757211685,-1.4901161193847656e-08,0.25,5.472937658623778e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2240358046256006e-05,-0.00014121450658421963,-1.1167348020535428e-05,4.384538988233544e-05,-1.3322400036486215e-06,-0.0001853366702562198,1.7113762851295178e-06,-8.00249254098162e-05,-0.00013995813787914813,5.892602712265216e-05,4.091026130481623e-05,-6.4847044995985925e-06,-0.00018476035620551556,6.097851837694179e-06,-8.00249254098162e-05,-0.00013995813787914813,5.892602712265216e-05,4.091026130481623e-05,-6.4847044995985925e-06,-0.00018476035620551556,6.097851837694179e-06,-8.00249254098162e-05,-0.00013995813787914813,5.892602712265216e-05,4.091026130481623e-05,-6.4847044995985925e-06,-0.00018476035620551556,6.097851837694179e-06,-8.00249254098162e-05,-0.00013995813787914813,5.892602712265216e-05,4.091026130481623e-05,-6.4847044995985925e-06,-0.00018476035620551556,6.097851837694179e-06
0.5239999999999938,0.08798442780971527,0.08798442780971527,nan,nan,nan,nan,0.1529066562652588,0.0,0.1529858112335205,0.5224884152412415,0.0,0.0,0.0,0.0,0.0010000000474974513,0.00800000037997961,100.0,0.10349976271390915,1.124695897102356,0.01203920692205429,17.40825080871582,7.914999150671065e-05,8.018992957659066e-05,0.15298683941364288,0.03141816332936287,1.0,1.1946855920541566e-05,0.0006536019500344992,9.0,1.0,0.0,0.0,0.08798442035913467,-7.450580596923828e-09,0.25,3.814462967710597e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2384604815451894e-05,-0.00013927917461842299,-1.19977621579892e-05,4.462716242414899e-05,-1.4211552752385614e-06,-0.000184186443220824,1.070208440978604e-06,-2.6412479201098904e-05,-0.00014004859258420765,1.797469667508267e-05,4.28601197199896e-05,-3.512073590172804e-06,-0.00018470118811819702,3.337194812047528e-06,-2.6412479201098904e-05,-0.00014004859258420765,1.797469667508267e-05,4.28601197199896e-05,-3.512073590172804e-06,-0.00018470118811819702,3.337194812047528e-06,-2.6412479201098904e-05,-0.00014004859258420765,1.797469667508267e-05,4.28601197199896e-05,-3.512073590172804e-06,-0.00018470118811819702,3.337194812047528e-06,-2.6412479201098904e-05,-0.00014004859258420765,1.797469667508267e-05,4.28601197199896e-05,-3.512073590172804e-06,-0.00018470118811819702,3.337194812047528e-06
0.6319999999999979,0.08799231797456741,0.08799231797456741,nan,nan,nan,nan,0.15292228758335114,0.0,0.15300153195858002,0.5224936008453369,0.0,0.0,0.0,0.0,-0.01600000075995922,0.014999999664723873,100.0,0.10350917279720306,13.160650253295898,0.02265721559524536,16.55318260192871,7.924224337330088e-05,9.469525684835389e-05,0.15301698446273804,0.0005260110483504832,1.0,1.1901587640750222e-05,0.0005077466485090554,9.0,1.0,0.0,0.0,0.08799231797456741,0.0,0.25,3.7528637975015045e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5888723282841966e-05,-0.00013919619959779084,1.5399749827338383e-05,4.466149039217271e-05,2.4263533759949496e-06,-0.00018413600628264248,-1.8510506833990803e-06,-2.1483043383341283e-05,-0.000139533105539158,1.7859842046163976e-05,4.393540802993812e-05,3.278978510934394e-07,-0.00018433475634083152,2.955857780762017e-10,-2.1483043383341283e-05,-0.000139533105539158,1.7859842046163976e-05,4.393540802993812e-05,3.278978510934394e-07,-0.00018433475634083152,2.955857780762017e-10,-2.1483043383341283e-05,-0.000139533105539158,1.7859842046163976e-05,4.393540802993812e-05,3.278978510934394e-07,-0.00018433475634083152,2.955857780762017e-10,-2.1483043383341283e-05,-0.000139533105539158,1.7859842046163976e-05,4.393540802993812e-05,3.278978510934394e-07,-0.00018433475634083152,2.955857780762017e-10
0.7619999999999933,0.08799935132265091,0.08799935132265091,nan,nan,nan,nan,0.1529366374015808,0.0,0.15301591157913208,0.5224822759628296,0.0,0.0,0.0,0.0,0.006000000052154064,0.023000000044703484,100.0,0.10351482778787613,1.9704997539520264,0.023786909878253937,26.981853485107422,7.927217666292563e-05,5.7257504522567615e-05,0.15299388766288757,0.0003057977301068604,1.0,1.1833032658614684e-05,0.00020096325897611678,9.0,1.0,0.0,0.0,0.08799935132265091,0.0,0.25,3.7044791678653155e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.605198566627223e-06,-0.00013910882989875972,5.442513156594941e-06,4.472265936783515e-05,1.0317978649254655e-06,-0.00018413251382298768,-7.88381953498174e-07,-9.956586836779024e-06,-0.0001392750273225829,8.480807082378305e-06,4.441726559889503e-05,4.876789603258658e-07,-0.0001842115307226777,-2.7440023586677853e-07,-9.956586836779024e-06,-0.0001392750273225829,8.480807082378305e-06,4.441726559889503e-05,4.876789603258658e-07,-0.0001842115307226777,-2.7440023586677853e-07,-9.956586836779024e-06,-0.0001392750273225829,8.480807082378305e-06,4.441726559889503e-05,4.876789603258658e-07,-0.0001842115307226777,-2.7440023586677853e-07,-9.956586836779024e-06,-0.0001392750273225829,8.480807082378305e-06,4.441726559889503e-05,4.876789603258658e-07,-0.0001842115307226777,-2.7440023586677853e-07
