t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,monitor_only,contact_stop,h_hard,softmin_gap,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.004999999888241291,0.003000000026077032,0.0,nan,2.5198678970336914,0.38493192195892334,2.988703966140747,nan,nan,nan,nan,nan,0.0010418513556942344,0.0017593756783753633,1.0,0.0,0.0,0.0,1.0,-171.4923095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004165946505963802,1.1958181858062744e-05,0.003097152803093195,-0.000133514404296875,-0.0003116489388048649,-2.9802322387695312e-05,0.00027000904083251953,-0.004165946040302515,1.1958181858062744e-05,0.003097152803093195,-0.000133514404296875,-0.0003116489388048649,-2.9802322387695312e-05,0.00027000904083251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004165946040302515,1.1958181858062744e-05,0.003097152803093195,-0.000133514404296875,-0.0003116489388048649,-2.9802322387695312e-05,0.00027000904083251953,-0.004165946040302515,1.1958181858062744e-05,0.003097152803093195,-0.000133514404296875,-0.0003116489388048649,-2.9802322387695312e-05,0.00027000904083251953
0.1369999999999969,-0.019225696101784706,0.003800154896453023,nan,nan,nan,nan,-0.09704304486513138,1.0,-0.09371975809335709,0.071275994181633,0.0,0.0,1.0,0.0,0.0010000000474974513,0.09099999815225601,100.0,0.03031175024807453,2.9520950317382812,0.4195570945739746,3.4607722759246826,0.003408720251172781,-0.0008484163554385304,-0.09797690063714981,nan,0.26639294624328613,0.002804702613502741,0.01582939736545086,1.0,0.0,0.0,0.0,-0.013147887773811817,0.006077808327972889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010452218702994287,-0.008838102221488953,8.662856998853385e-05,0.00795602798461914,-0.000593964068684727,0.0021326541900634766,5.3942203521728516e-05,-0.0034890419337898493,-0.0014630518853664398,0.00259539857506752,0.0012147427769377828,-0.00035870145075023174,0.0003306071157567203,0.00023399789643008262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06293592602014542,-0.07018482685089111,0.06104075536131859,0.21767659485340118,0.027935141697525978,0.14843545854091644,-0.00023500666429754347,0.05944688245654106,-0.07164788246154785,0.06363615393638611,0.21889133751392365,0.027576440945267677,0.14876607060432434,-1.008767867460847e-06,0.0064361924305558205,-0.011931348592042923,0.013186986558139324,0.03637062758207321,0.004336366429924965,0.024769511073827744,0.00022483940119855106
0.1819999999999986,-0.019253823906183243,0.0037720270920544863,nan,nan,nan,nan,-0.09722831100225449,1.0,-0.08511869609355927,0.06894616037607193,0.0,0.0,1.0,0.0,0.0010000000474974513,0.009999999776482582,100.0,0.03260619193315506,2.0534610748291016,0.5770311951637268,2.7139651775360107,0.012150418013334274,2.9936600185465068e-06,-0.09726612269878387,-0.002812780439853668,0.2615078091621399,0.008478714153170586,0.016296792775392532,1.0,0.0,0.0,0.0,-0.013165929354727268,0.006087894551455975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001700471737422049,-0.0007130549638532102,0.0012649324489757419,0.0005920352996326983,-0.00017482212570030242,0.00016112966113723814,0.00011404474207665771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06651592254638672,-0.07782638818025589,0.06452281773090363,0.22502008080482483,0.0294342003762722,0.14999452233314514,-0.0003124845679849386,0.064815454185009,-0.07853944599628448,0.06578774750232697,0.2256121188402176,0.02925937809050083,0.15015564858913422,-0.0001984398259082809,0.03611285984516144,-0.046153031289577484,0.040307097136974335,0.133401557803154,0.01708081178367138,0.08902768790721893,2.3519020032836124e-05
0.2559999999999967,-0.018905436620116234,0.004120414145290852,nan,nan,nan,nan,-0.09550099074840546,1.0,-0.07078273594379425,0.10892242938280106,0.0,0.0,1.0,0.0,0.0010000000474974513,0.009999999776482582,100.0,0.032155778259038925,5.1757121086120605,9.908591270446777,15.212662696838379,0.02474445104598999,0.003463323228061199,-0.09206386655569077,0.0348387286067009,0.21392667293548584,0.013169036246836185,0.03478563204407692,1.0,0.0,0.0,0.0,-0.013044985011219978,0.0058604516088962555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008439702214673162,-0.00035390013363212347,0.0006278053624555469,0.00029383620130829513,-8.676690049469471e-05,7.997111970325932e-05,5.66021517443005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03889676183462143,-0.017053162679076195,0.03772475942969322,0.14093437790870667,0.01748535968363285,0.11430616676807404,-2.9410852221189998e-05,0.038052789866924286,-0.017407063394784927,0.038352563977241516,0.14122821390628815,0.017398592084646225,0.11438614130020142,2.71912995231105e-05,0.046403057873249054,-0.045374758541584015,0.0485270731151104,0.17285893857479095,0.021381737664341927,0.12452127039432526,-3.007495024576201e-06
0.3059999999999974,-0.01790212281048298,0.005123727954924107,nan,nan,nan,nan,-0.09050333499908447,1.0,-0.0475488156080246,0.15562617778778076,0.0,0.0,1.0,0.0,0.007000000216066837,0.004999999888241291,100.0,0.026658551767468452,1.7519910335540771,0.6114230751991272,2.474594831466675,0.04296179488301277,0.010102828964591026,-0.08040778338909149,0.200662761926651,0.08874070644378662,0.015831535682082176,0.07544668018817902,1.0,0.0,0.0,0.0,-0.012487154453992844,0.005414968356490135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000403643527533859,-0.000169258943060413,0.00030025889282114804,0.00014053232735022902,-4.149778760620393e-05,3.8247588236117736e-05,2.7070969736087136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03246269375085831,0.026543134823441505,0.031454771757125854,0.08232477307319641,0.014905421063303947,0.09109992533922195,4.7691879444755614e-05,0.03205905109643936,0.02637387625873089,0.031755030155181885,0.08246530592441559,0.014863923192024231,0.09113817662000656,7.476285099983215e-05,0.06465961039066315,0.014933914877474308,0.06481727957725525,0.19058187305927277,0.029834948480129242,0.18020087480545044,8.617962885182351e-05
0.34199999999999875,-0.017091354355216026,0.005934496410191059,nan,nan,nan,nan,-0.08645690232515335,1.0,-0.03558884561061859,0.18608476221561432,0.0,0.0,1.0,0.0,0.00800000037997961,0.009999999776482582,100.0,0.02045220136642456,2.790980100631714,0.7341639399528503,3.6141936779022217,0.05086792632937431,0.011708904057741165,-0.07474787533283234,0.08107684552669525,-8.820407674647868e-05,0.020722053945064545,0.0829261839389801,1.0,0.0,0.0,0.0,-0.011919256299734116,0.005172098055481911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020075532665941864,-8.418229117523879e-05,0.00014933616330381483,6.989487883402035e-05,-2.063925603579264e-05,1.9022743799723685e-05,1.3463964023685548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029423728585243225,0.04157247021794319,0.028509946539998055,0.05552181974053383,0.01369031984359026,0.07736598700284958,7.059925701469183e-05,0.029222972691059113,0.04148828610777855,0.028659282252192497,0.05559171363711357,0.013669680804014206,0.07738500833511353,8.406322012888268e-05,0.0704636424779892,0.07009445875883102,0.06956881284713745,0.15816795825958252,0.03279358521103859,0.18818287551403046,0.0001567090512253344
0.3839999999999968,-0.01517372764647007,0.007852123118937016,nan,nan,nan,nan,-0.07687167078256607,1.0,-0.011138757690787315,0.2558000385761261,0.0,0.0,1.0,0.0,0.00800000037997961,0.009999999776482582,100.0,0.01635805331170559,2.8644590377807617,0.9252349734306335,3.885953187942505,0.06572987884283066,0.02666059508919716,-0.050208039581775665,0.19176267087459564,-0.08721564710140228,0.02102900855243206,0.1390698254108429,1.0,0.0,0.0,0.0,-0.010405050590634346,0.004768677055835724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.737387154018506e-05,-4.083157182321884e-05,7.243364962050691e-05,3.390164056327194e-05,-1.0010813639382832e-05,9.226745532942005e-06,6.530528935400071e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021966788917779922,0.042978640645742416,0.021292751654982567,0.02888312004506588,0.010377131402492523,0.054735977202653885,5.771499854745343e-05,0.021869415417313576,0.042937807738780975,0.02136518619954586,0.028917022049427032,0.010367120616137981,0.054745204746723175,6.424552702810615e-05,0.06930625438690186,0.11046396940946579,0.06790916621685028,0.11497607082128525,0.03262462839484215,0.17704051733016968,0.00017596816178411245
0.4299999999999997,-0.012718135491013527,0.010307715274393559,nan,nan,nan,nan,-0.06459067761898041,1.0,-3.5564880818128586e-07,0.3263934254646301,0.0,0.0,1.0,0.0,0.007000000216066837,0.009999999776482582,100.0,0.11308158934116364,13.051469802856445,8.718976974487305,22.17075538635254,0.06459031999111176,0.0664602667093277,0.001869591069407761,0.2455592155456543,1.0,0.018989769741892815,0.24851949512958527,1.0,0.0,0.0,0.0,-0.00835571251809597,0.004362422972917557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018839428201317787,0.036536622792482376,0.0182630755007267,0.018258651718497276,0.008995086885988712,0.04115988314151764,4.449589596333681e-06,0.018839428201317787,0.036536622792482376,0.0182630755007267,0.018258651718497276,0.008995086885988712,0.04115988314151764,4.449589596333681e-06,0.05742485448718071,0.09935322403907776,0.05602236092090607,0.07202569395303726,0.027292218059301376,0.13179489970207214,4.342077227192931e-05
0.4629999999999974,0.09336214512586594,0.1163879930973053,nan,nan,nan,nan,0.24926410615444183,0.0,0.2797369956970215,0.7987632155418396,0.0,0.0,1.0,0.0,0.00800000037997961,0.009999999776482582,100.0,0.11513126641511917,2.5701253414154053,0.7863049507141113,3.472060441970825,0.0006505685159936547,0.0898183211684227,0.3689047694206238,10.608027458190918,1.0,0.004579660948365927,0.24662770330905914,1.0,0.0,0.0,0.0,0.10270700603723526,0.009344860911369324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06651495397090912,-0.02479415386915207,-0.06796501576900482,-0.17636537551879883,-0.03186207264661789,-0.16206145286560059,0.00015407800674438477,-0.016688210889697075,-0.005732256919145584,-0.017072763293981552,-0.04628054052591324,-0.008327525109052658,-0.0412365086376667,-3.899945295415819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016688210889697075,-0.005732256919145584,-0.017072763293981552,-0.04628054052591324,-0.008327525109052658,-0.0412365086376667,-3.899945295415819e-05,0.008335391990840435,0.015517384745180607,0.00807720236480236,0.010105619207024574,0.003823746694251895,0.0203794427216053,4.833275397686521e-06
0.49999999999999645,0.09284453839063644,0.1158703863620758,nan,nan,nan,nan,0.187917098402977,0.0,0.23969168961048126,0.9047055244445801,0.0,0.0,1.0,0.0,0.00800000037997961,0.009999999776482582,100.0,0.11588838696479797,1.3688560724258423,0.5467599034309387,1.9768601655960083,-0.037841908633708954,0.0823306143283844,0.3598642349243164,-0.05176067352294922,1.0000001192092896,0.003718938212841749,0.2166059911251068,1.0,0.0,0.0,0.0,0.10235127061605453,0.00950673222541809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07701236009597778,-0.03408756107091904,-0.07869960367679596,-0.18156170845031738,-0.03427211940288544,-0.17867088317871094,0.00034302473068237305,-0.043992701917886734,-0.017057541757822037,-0.044963255524635315,-0.11386394500732422,-0.02079949527978897,-0.10597292333841324,9.151639824267477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043992701917886734,-0.017057541757822037,-0.044963255524635315,-0.11386394500732422,-0.02079949527978897,-0.10597292333841324,9.151639824267477e-05,-0.014572528190910816,0.0006184467929415405,-0.015111302025616169,-0.04449696093797684,-0.007095754612237215,-0.03540443629026413,2.5507348254905082e-05
