t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,monitor_only,contact_stop,h_hard,softmin_gap,h_food,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_post_filter_0,dq_post_filter_1,dq_post_filter_2,dq_post_filter_3,dq_post_filter_4,dq_post_filter_5,dq_post_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0,0.003000000026077032,0.0,nan,7.209708213806152,0.5975058078765869,8.364945411682129,nan,nan,nan,nan,nan,9.684575161372777e-06,0.0009298244840465486,0.0,1.0,0.0,0.0,1.0,-171.51318359375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7003115974366665e-05,3.252178430557251e-05,-8.494243957102299e-06,-3.5762786865234375e-06,1.851702108979225e-05,9.5367431640625e-06,-6.258487701416016e-06,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
0.057593345642089844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0,0.007000000216066837,0.0,nan,25.589452743530273,0.6504151821136475,26.421077728271484,nan,nan,nan,nan,nan,4.0547735125073814e-07,0.000609205977525562,0.0,1.0,0.0,0.0,1.0,-171.51318359375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57597241923213e-07,1.2293457984924316e-06,-6.491609383374453e-07,0.0,1.340704329777509e-06,0.0,-5.960464477539062e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
0.16164422035217285,0.11197498440742493,0.11427757143974304,nan,nan,nan,nan,0.19600000977516174,0.0,0.19600827991962433,0.5364254713058472,0.0,0.0,1.0,0.0,0.004999999888241291,0.006000000052154064,100.0,0.10330548882484436,16.044742584228516,0.8436692953109741,18.375844955444336,8.274745596281718e-06,-2.3237542336573824e-05,0.19597677886486053,nan,1.0,9.24712458072463e-06,0.0002585079346317798,9.0,1.0,0.0,0.0,0.11215955018997192,0.00018456578254699707,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6325066098943353e-05,5.401670932769775e-06,-2.28982389671728e-05,2.384185791015625e-06,-3.239991201553494e-05,-3.5762786865234375e-06,-1.5795230865478516e-05,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-7.831441507732961e-06,-0.0002078199031529948,-5.482788310473552e-06,-0.00010406201181467623,-1.0581566129985731e-06,-0.00010820864554261789,-1.3223965652287006e-05,-7.831441507732961e-06,-0.0002078199031529948,-5.482788310473552e-06,-0.00010406201181467623,-1.0581566129985731e-06,-0.00010820864554261789,-1.3223965652287006e-05,-7.831441507732961e-06,-0.0002078199031529948,-5.482788310473552e-06,-0.00010406201181467623,-1.0581566129985731e-06,-0.00010820864554261789,-1.3223965652287006e-05,-5.463796810545318e-07,-1.4499063581752125e-05,-3.8252014178397076e-07,-7.260140591824893e-06,-7.382488576013202e-08,-7.549440852017142e-06,-9.226022825714608e-07,-5.463796810545318e-07,-1.4499063581752125e-05,-3.8252014178397076e-07,-7.260140591824893e-06,-7.382488576013202e-08,-7.549440852017142e-06,-9.226022825714608e-07
0.2897071838378906,0.11224663257598877,0.11454921960830688,nan,nan,nan,nan,0.195924773812294,0.0,0.19603164494037628,0.5281495451927185,0.0,0.0,1.0,0.0,0.0010000000474974513,0.006000000052154064,100.0,0.10308651626110077,8.063855171203613,0.7663816213607788,9.194857597351074,3.163793735438958e-05,8.23063455754891e-05,0.19608230888843536,0.04527469724416733,0.9964361190795898,4.973314571543597e-05,0.004918632097542286,9.0,1.0,0.0,0.0,0.11262978613376617,0.0003831535577774048,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042021917179226875,4.507601261138916e-06,-0.0031252007465809584,0.00013947486877441406,0.00031590182334184647,3.337860107421875e-05,-0.0002694129943847656,0.0024476097896695137,4.072939555044286e-05,-0.0018221426289528608,0.00010199677490163594,0.00017045173444785178,1.5406640159199014e-05,-0.0001743958127917722,-1.87384521268541e-05,-0.00020864835823886096,7.391080998786492e-06,-0.00010412662231829017,8.390840093852603e-07,-0.00010880549234570935,-1.2223682460898999e-05,-1.873844303190708e-05,-0.00020864835823886096,7.3910923674702644e-06,-0.00010412662231829017,8.39077983982861e-07,-0.00010880548506975174,-1.2223681551404297e-05,0.0024288713466376066,-0.0001679189590504393,-0.0018147515365853906,-2.129847416654229e-06,0.00017129081243183464,-9.339884854853153e-05,-0.00018661949434317648,0.0007891915156506002,-8.432729373453185e-05,-0.0005914844805374742,-1.4816513612458948e-05,5.423181937658228e-05,-4.7800229367567226e-05,-6.400749407475814e-05,0.0007891915156506002,-8.432729373453185e-05,-0.0005914844805374742,-1.4816513612458948e-05,5.423181937658228e-05,-4.7800229367567226e-05,-6.400749407475814e-05
0.4092862606048584,0.11223682761192322,0.11453941464424133,nan,nan,nan,nan,0.19594408571720123,0.0,0.19604797661304474,0.5285041928291321,0.0,0.0,1.0,0.0,0.0,0.009999999776482582,100.0,0.10308190435171127,10.106839179992676,0.6665298938751221,11.147561073303223,4.7965862904675305e-05,3.5338394809514284e-05,0.19603535532951355,-0.0009804964065551758,0.9499188661575317,5.862211764906533e-05,0.003934841603040695,9.0,1.0,0.0,0.0,0.11260081827640533,0.0003639906644821167,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023171043721958995,0.00011421740055084229,0.00021414562070276588,3.337860107421875e-05,-4.73462205263786e-05,7.271766662597656e-05,-1.043081283569336e-05,0.0006661873776465654,6.939363083802164e-05,-0.0004648906469810754,5.1616454584291205e-05,2.5489774998277426e-05,4.05391983804293e-05,-6.083419793867506e-05,-2.0534140276140533e-05,-0.00020843352831434458,8.81312462297501e-06,-0.00010382835898781195,1.1709281579896924e-06,-0.0001089183715521358,-1.2801671800843906e-05,-2.053414937108755e-05,-0.00020843352831434458,8.81313462741673e-06,-0.00010382835898781195,1.1709289537975565e-06,-0.0001089183715521358,-1.2801672710338607e-05,0.0006456532282754779,-0.00013903989747632295,-0.0004560775123536587,-5.221190440352075e-05,2.6660703952074982e-05,-6.83791731717065e-05,-7.363587064901367e-05,0.0009338113595731556,-0.00012189109111204743,-0.0006872974336147308,-2.9428461857605726e-05,5.780137507827021e-05,-6.514349661301821e-05,-8.179916767403483e-05,0.0009338113595731556,-0.00012189109111204743,-0.0006872974336147308,-2.9428461857605726e-05,5.780137507827021e-05,-6.514349661301821e-05,-8.179916767403483e-05
0.5476012229919434,0.1122313141822815,0.11453390121459961,nan,nan,nan,nan,0.19595268368721008,0.0,0.19605682790279388,0.5285341143608093,0.0,0.0,1.0,0.0,0.00800000037997961,0.010999999940395355,100.0,0.1030944213271141,8.427864074707031,0.4517994821071625,10.054125785827637,5.68194554944057e-05,-3.2483389077242464e-05,0.19596752524375916,-0.0005012208712287247,0.7243643999099731,3.0109671570244245e-05,0.002540838671848178,9.0,1.0,0.0,0.0,0.11259399354457855,0.0003626793622970581,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007693280349485576,7.491558790206909e-05,0.0006647545378655195,1.7881393432617188e-05,-5.157031409908086e-05,4.887580871582031e-05,6.526708602905273e-05,-0.00018751155585050583,8.540424460079521e-05,0.00020176878024358302,3.7249934393912554e-05,-1.0347068382543512e-05,4.507602352532558e-05,5.749388947151601e-06,-6.976118311285973e-05,-0.00020844669779762626,5.64849324291572e-05,-0.0001038004265865311,7.709276360401418e-06,-0.00010896984895225614,-1.782597610144876e-05,-6.976118311285973e-05,-0.00020844669779762626,5.64849324291572e-05,-0.0001038004265865311,7.709276360401418e-06,-0.00010896984895225614,-1.782597610144876e-05,-0.00025727273896336555,-0.00012304245319683105,0.0002582537126727402,-6.655049219261855e-05,-2.6377920221420936e-06,-6.389382178895175e-05,-1.2076587154297158e-05,0.00047954946057870984,-0.00012148079258622602,-0.0003270240849815309,-4.392710616230033e-05,3.5571287298807874e-05,-6.523726915474981e-05,-5.8886551414616406e-05,0.00047954946057870984,-0.00012148079258622602,-0.0003270240849815309,-4.392710616230033e-05,3.5571287298807874e-05,-6.523726915474981e-05,-5.8886551414616406e-05
0.6729662418365479,0.11189727485179901,0.11419986188411713,nan,nan,nan,nan,0.19594456255435944,0.0,0.19607257843017578,0.5490750074386597,0.0,0.0,1.0,0.0,0.004999999888241291,0.013000000268220901,100.0,0.10328605026006699,16.900590896606445,3.00993013381958,20.7368106842041,7.257093966472894e-05,4.4631400669459254e-05,0.19604463875293732,-0.025695331394672394,0.9952515959739685,6.110282993176952e-05,0.004220473580062389,9.0,1.0,0.0,0.0,0.11197195947170258,7.468461990356445e-05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034753307700157166,0.00014059245586395264,-0.0026353877037763596,0.0001895427703857422,0.0002139733696822077,0.0001049041748046875,-0.00020653009414672852,0.002117026364430785,0.00010976669727824628,-0.0015699001960456371,0.00013039713667239994,0.00013051769929006696,7.754980470053852e-05,-0.0001280609576497227,9.483837857260369e-06,-0.0002091784990625456,-1.8023183656623587e-06,-0.00010842667688848451,1.3690501532437338e-07,-0.00010519148781895638,7.569391527795233e-06,9.483890607953072e-06,-0.0002091784990625456,-1.8023420125246048e-06,-0.00010842667688848451,1.3690441846847534e-07,-0.00010519148781895638,7.569389708805829e-06,0.0021265102550387383,-9.941180178429931e-05,-0.0015717025380581617,2.197045978391543e-05,0.00013065460370853543,-2.764168311841786e-05,-0.00012049156794091687,0.0009853728115558624,-0.00011542418360477313,-0.0007044158992357552,-2.378088356635999e-05,6.435760587919503e-05,-5.223710832069628e-05,-7.386255310848355e-05,0.0009853728115558624,-0.00011542418360477313,-0.0007044158992357552,-2.378088356635999e-05,6.435760587919503e-05,-5.223710832069628e-05,-7.386255310848355e-05
0.7728400230407715,0.11190237104892731,0.11420495808124542,nan,nan,nan,nan,0.19591903686523438,0.0,0.19606028497219086,0.5490679740905762,0.0,0.0,1.0,0.0,0.006000000052154064,0.013000000268220901,100.0,0.10327772796154022,7.783084869384766,0.3126980662345886,9.274478912353516,6.027561175869778e-05,3.7597157643176615e-05,0.19603760540485382,0.000392015150282532,0.9974881410598755,0.00010823104821611196,0.0015287325950339437,9.0,1.0,0.0,0.0,0.11197707056999207,7.46995210647583e-05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034085379447788,0.00019147992134094238,-0.0026046510320156813,0.00020265579223632812,0.0002592878881841898,0.00012993812561035156,-0.00018864870071411133,0.0028899358585476875,0.0001640940608922392,-0.0021880657877773046,0.00017627162742428482,0.0002064625732600689,0.00010820769239217043,-0.00016743416199460626,-1.0027448297478259e-05,-0.0002090792841045186,1.7060778191080317e-05,-0.00010825135541381314,2.939840214821743e-06,-0.00010529583232710138,5.413132839748869e-06,-1.0027550160884857e-05,-0.0002090792841045186,1.7060665413737297e-05,-0.00010825135541381314,2.939836122095585e-06,-0.00010529583232710138,5.4131378419697285e-06,0.0028799083083868027,-4.498522321227938e-05,-0.0021710051223635674,6.802027201047167e-05,0.00020940240938216448,2.9118600650690496e-06,-0.00016202102415263653,0.001734757679514587,-8.87746864464134e-05,-0.0012807820457965136,1.2586053344421089e-05,0.00012067603529430926,-3.1414503609994426e-05,-0.0001101073794416152,0.001734757679514587,-8.87746864464134e-05,-0.0012807820457965136,1.2586053344421089e-05,0.00012067603529430926,-3.1414503609994426e-05,-0.0001101073794416152
0.9195027351379395,0.11153344810009003,0.11383603513240814,nan,nan,nan,nan,0.19587455689907074,0.0,0.19601871073246002,0.5390617251396179,0.0,0.0,1.0,0.0,0.006000000052154064,0.008999999612569809,100.0,0.1031278520822525,46.4664306640625,1.296249270439148,48.61690139770508,1.8697668565437198e-05,-1.2493503163568676e-05,0.1959875226020813,-0.040991440415382385,0.9957775473594666,0.00014564444427378476,0.015203951857984066,9.0,1.0,0.0,0.0,0.11177347600460052,0.00024002790451049805,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026626931503415108,0.00022683292627334595,0.0020504973363131285,2.0265579223632812e-05,-0.00021701710647903383,0.00010728836059570312,0.00019162893295288086,0.00227330788038671,0.00019084087398368865,-0.0017143175937235355,0.00017525599105283618,0.0001455402234569192,0.00011926191655220464,-0.00012040239380439743,3.283382056906703e-06,-0.00021341408137232065,-1.8074254057864891e-06,-0.00010960510553559288,1.0365636882170293e-07,-0.00010831741383299232,1.2250367262822692e-06,3.2833777368068695e-06,-0.00021341408137232065,-1.80746428668499e-06,-0.00010960510553559288,1.0365329217165709e-07,-0.00010831741383299232,1.225038431584835e-06,0.002276591258123517,-2.2573207388632e-05,-0.0017161250580102205,6.56508855172433e-05,0.00014564387674909085,1.0944502719212323e-05,-0.0001191773553728126,0.002325106645002961,-5.9387086366768926e-05,-0.0017407028935849667,4.758487921208143e-05,0.0001581976393936202,-1.0082791959575843e-05,-0.00013410359679255635,0.002325106645002961,-5.9387086366768926e-05,-0.0017407028935849667,4.758487921208143e-05,0.0001581976393936202,-1.0082791959575843e-05,-0.00013410359679255635
1.0833024978637695,0.11154034733772278,0.1138429343700409,nan,nan,nan,nan,0.19585666060447693,0.0,0.19600065052509308,0.5393179655075073,0.0,0.0,1.0,0.0,-0.0020000000949949026,0.019999999552965164,100.0,0.10314062982797623,20.17180824279785,1.0731992721557617,22.202476501464844,6.419063538487535e-07,1.746122507029213e-05,0.19601747393608093,0.00034496188163757324,0.8027050495147705,9.484738984610885e-05,0.002794683910906315,9.0,1.0,0.0,0.0,0.11177787184715271,0.00023752450942993164,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007473854930140078,0.00025972723960876465,0.0006896227714605629,6.67572021484375e-05,-6.93879701429978e-05,0.00016689300537109375,8.016824722290039e-05,0.00028650579042732716,0.00023781815252732486,-0.0001449938863515854,0.00010280165588483214,4.535999323707074e-06,0.0001504496904090047,1.144741054304177e-05,5.65932509744016e-07,-0.0002135799004463479,5.336692652235797e-07,-0.00010975672194035724,2.829144705174258e-07,-0.00010831321560544893,7.571398441541533e-07,5.659239832311869e-07,-0.0002135799004463479,5.336623871698976e-07,-0.00010975672194035724,2.8291469789110124e-07,-0.00010831321560544893,7.571397873107344e-07,0.00028707171441055834,2.4238252080976963e-05,-0.0001444602239644155,-6.955066055525094e-06,4.818914021598175e-06,4.213647480355576e-05,1.2204550330352504e-05,0.001525274245068431,-2.1541212845477276e-05,-0.0011204759357497096,2.821732596203219e-05,9.670347935752943e-05,1.2833450455218554e-05,-7.50708204577677e-05,0.001525274245068431,-2.1541212845477276e-05,-0.0011204759357497096,2.821732596203219e-05,9.670347935752943e-05,1.2833450455218554e-05,-7.50708204577677e-05
