t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,172.51077270507812,172.51077270507812,-1962.651611328125,0.0,0.0,0.0,517.5313110351562,0.0,517.5313110351562,0.5134100317955017,0.0,0.0,1.0,0.0,0.004000000189989805,0.009999999776482582,0.0,nan,2.199180841445923,0.9347051382064819,3.279327869415283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016377554857172072,4.582107067108154e-06,-3.882974851876497e-05,3.5762786865234375e-05,-0.00016547463019378483,4.0531158447265625e-05,0.00013381242752075195,0.00016377554857172072,4.582107067108154e-06,-3.882974851876497e-05,3.5762786865234375e-05,-0.00016547463019378483,4.053115480928682e-05,0.00013381242752075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016377554857172072,4.582107067108154e-06,-3.882974851876497e-05,3.5762786865234375e-05,-0.00016547463019378483,4.053115480928682e-05,0.00013381242752075195,0.00016377554857172072,4.582107067108154e-06,-3.882974851876497e-05,3.5762786865234375e-05,-0.00016547463019378483,4.053115480928682e-05,0.00013381242752075195
0.00999999999999801,172.51080322265625,172.51080322265625,-1963.3839111328125,0.0,0.0,0.0,517.5313720703125,0.0,517.5313720703125,0.5133142471313477,0.0,0.0,1.0,0.0,0.003000000026077032,0.012000000104308128,0.0,nan,1.8294421434402466,1.3043853044509888,3.306760549545288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87332693208009e-05,-9.737908840179443e-05,0.00017504004063084722,0.0,0.00015183293726295233,-9.179115295410156e-05,-6.526708602905273e-05,0.00013957382179796696,-1.5152316336752847e-05,2.5644039851613343e-06,2.884095738409087e-05,-0.00010406025830889121,1.4920384273864329e-05,9.528091322863474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013957382179796696,-1.5152316336752847e-05,2.5644039851613343e-06,2.884095738409087e-05,-0.00010406025830889121,1.4920384273864329e-05,9.528091322863474e-05,0.0001624056458240375,3.4650640827749157e-06,-3.6486682802205905e-05,3.537098382366821e-05,-0.00016199835226871073,3.90814857382793e-05,0.00013163140101823956
0.027999999999998693,172.51080322265625,172.51080322265625,-1963.3839111328125,0.0,0.0,0.0,517.5313720703125,0.0,517.5313720703125,0.5133142471313477,0.0,0.0,1.0,0.0,0.003000000026077032,0.013000000268220901,0.0,nan,2.1787471771240234,2.9334988594055176,5.276455879211426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87332693208009e-05,-9.737908840179443e-05,0.00017504004063084722,0.0,0.00015183293726295233,-9.179115295410156e-05,-6.526708602905273e-05,0.00011876545613631606,-3.211974399164319e-05,3.81546160497237e-05,2.2889649699209258e-05,-5.125690222484991e-05,-7.099456524883863e-06,6.215196481207386e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011876545613631606,-3.211974399164319e-05,3.81546160497237e-05,2.2889649699209258e-05,-5.125690222484991e-05,-7.099456524883863e-06,6.215196481207386e-05,0.00015974216512404382,1.2932212030136725e-06,-3.193111115251668e-05,3.460920925135724e-05,-0.0001552394824102521,3.626292891567573e-05,0.00012739085650537163
0.10300000000000153,172.51080322265625,172.51080322265625,-1963.3839111328125,0.0,0.0,0.0,517.5313720703125,0.0,517.5313720703125,0.5133142471313477,0.0,0.0,1.0,0.0,0.003000000026077032,0.012000000104308128,0.0,nan,66.18136596679688,2.1838297843933105,68.83058166503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87332693208009e-05,-9.737908840179443e-05,0.00017504004063084722,0.0,0.00015183293726295233,-9.179115295410156e-05,-6.526708602905273e-05,0.00010327535710530356,-4.4750584493158385e-05,6.464857142418623e-05,1.845939550548792e-05,-1.1949190593441017e-05,-2.3491396859753877e-05,3.749021198018454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010327535710530356,-4.4750584493158385e-05,6.464857142418623e-05,1.845939550548792e-05,-1.1949190593441017e-05,-2.3491396859753877e-05,3.749021198018454e-05,0.00015654593880753964,-1.3130319302945281e-06,-2.646433495101519e-05,3.369506885064766e-05,-0.00014712871052324772,3.288060543127358e-05,0.0001223021390615031
0.10999999999999943,172.5112762451172,172.5112762451172,-1955.5489501953125,0.0,0.0,0.0,517.5316772460938,0.0,517.5325927734375,0.5143420696258545,0.0,0.0,1.0,0.0,0.007000000216066837,0.03750000149011612,0.0,nan,3.2777585983276367,2.3929994106292725,5.836030960083008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014125180314294994,-0.00578220933675766,0.00016855323337949812,0.0060939788818359375,-0.0003568276879377663,0.0010454654693603516,-7.62939453125e-05,-1.5219957276713103e-06,-0.0025036614388227463,0.00010917914914898574,0.002622253494337201,-0.0001597542577655986,0.0004346329951658845,-1.127442556025926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5219957276713103e-06,-0.0025036614388227463,0.00010917914914898574,0.002622253494337201,-0.0001597542577655986,0.0004346329951658845,-1.127442556025926e-05,0.00013158784713596106,-0.00039642065530642867,-5.046944352216087e-06,0.0004424148064572364,-0.00014912220649421215,9.631519060349092e-05,0.00010121110244654119
0.12099999999999511,172.5115203857422,172.5115203857422,-1951.709716796875,0.0,0.0,0.0,517.5318603515625,0.0,517.5332641601562,0.514847993850708,0.0,0.0,1.0,0.0,0.009999999776482582,0.013000000268220901,0.0,nan,2.305453062057495,1.8652528524398804,4.6919097900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.954179404303432e-05,-0.009111166000366211,9.171460988000035e-05,0.00818490982055664,-0.00024122916511259973,0.002099275588989258,-0.00012040138244628906,-2.1748302970081568e-05,-0.003867114894092083,0.00010557536006672308,0.0037701032124459743,-0.0001765665365383029,0.0007781307213008404,-3.379268673597835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1748302970081568e-05,-0.003867114894092083,0.00010557536006672308,0.0037701032124459743,-0.0001765665365383029,0.0007781307213008404,-3.379268673597835e-05,0.0001222292921738699,-0.0006082470645196736,1.704651822365122e-06,0.0006455131224356592,-0.00015079720469657332,0.00013792834943160415,9.297142969444394e-05
0.134999999999998,172.5115203857422,172.5115203857422,-1951.7083740234375,0.0,0.0,0.0,517.531494140625,0.0,517.5331420898438,0.514847993850708,0.0,0.0,1.0,0.0,0.007000000216066837,0.012000000104308128,0.0,nan,2.7537081241607666,2.598052740097046,5.559487819671631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.954179404303432e-05,-0.009111166000366211,9.171460988000035e-05,0.00818490982055664,-0.00024122916511259973,0.002099275588989258,-0.00012040138244628906,-3.680510781123303e-05,-0.004882092587649822,0.0001028926344588399,0.004624581895768642,-0.00018908188212662935,0.00103383616078645,-5.055565998191014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.680510781123303e-05,-0.004882092587649822,0.0001028926344588399,0.004624581895768642,-0.00018908188212662935,0.00103383616078645,-5.055565998191014e-05,0.0001132273391704075,-0.0008501628180965781,7.432273832819192e-06,0.0008707434171810746,-0.00015296426136046648,0.0001886401150841266,8.484725549351424e-05
0.14799999999999613,172.51181030273438,172.51181030273438,-1948.43505859375,0.0,0.0,0.0,517.5316772460938,0.0,517.5338745117188,0.515280544757843,0.0,0.0,1.0,0.0,0.009999999776482582,0.013000000268220901,0.0,nan,2.6697990894317627,2.7173562049865723,5.666269779205322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001868589606601745,-0.012218542397022247,0.000231442681979388,0.011781454086303711,-0.0012311916798353195,0.0019538402557373047,2.294778823852539e-05,-6.776860391255468e-05,-0.00639596302062273,0.0001294188405154273,0.00610139686614275,-0.00040412042289972305,0.0012236782349646091,-3.538828241289593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.776860391255468e-05,-0.00639596302062273,0.0001294188405154273,0.00610139686614275,-0.00040412042289972305,0.0012236782349646091,-3.538828241289593e-05,0.00010218063107458875,-0.0011886388529092073,1.487746339989826e-05,0.001189985079690814,-0.0001682930305832997,0.0002518114633858204,7.750893564661965e-05
0.1699999999999946,172.51181030273438,172.51181030273438,-1948.4320068359375,0.0,0.0,0.0,517.5308837890625,0.0,517.5335693359375,0.515280544757843,0.0,0.0,1.0,0.0,0.0010000000474974513,0.02199999988079071,0.0,nan,4.032904148101807,1.9743889570236206,7.153737545013428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001868589606601745,-0.012218542397022247,0.000231442681979388,0.011781454086303711,-0.0012311916798353195,0.0019538402557373047,2.294778823852539e-05,-0.00010415732685942203,-0.008175084367394447,0.00016059278277680278,0.007836969569325447,-0.0006568366661667824,0.001446783309802413,-1.7563370420248248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010415732685942203,-0.008175084367394447,0.00016059278277680278,0.007836969569325447,-0.0006568366661667824,0.001446783309802413,-1.7563370420248248e-05,8.173272362910211e-05,-0.0018809891771525145,2.931771996372845e-05,0.001848695334047079,-0.00021670726709999144,0.00037023209733888507,6.808735633967444e-05
0.17899999999999494,172.51226806640625,172.51226806640625,-1943.8515625,0.0,0.0,0.0,517.5316162109375,0.0,517.5347900390625,0.5158879160881042,0.0,0.0,1.0,0.0,0.004000000189989805,0.009999999776482582,0.0,nan,4.0038909912109375,2.3320419788360596,6.711234092712402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003267577267251909,-0.01699298620223999,0.0005589280044659972,0.016632080078125,-0.0018603643402457237,0.0024628639221191406,0.00014513731002807617,-0.00014125739107839763,-0.009644734673202038,0.0002269819815410301,0.009302821010351181,-0.0008574246312491596,0.0016161301173269749,9.55341056396719e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014125739107839763,-0.009644734673202038,0.0002269819815410301,0.009302821010351181,-0.0008574246312491596,0.0016161301173269749,9.55341056396719e-06,7.111414743121713e-05,-0.0022506914101541042,3.873030436807312e-05,0.0022036535665392876,-0.00024721762747503817,0.0004295605467632413,6.530002428917214e-05
