links,link_names,points,value_max_abs_error,gradient_max_abs_error,analytical_wall_mean_ms,analytical_wall_std_ms,analytical_wall_median_ms,analytical_wall_p95_ms,autograd_all_rows_wall_mean_ms,autograd_all_rows_wall_std_ms,autograd_all_rows_wall_median_ms,autograd_all_rows_wall_p95_ms,all_rows_wall_speedup_autograd_over_analytical
1,panda_link4,100,3.725290298461914e-09,5.960464477539063e-08,5.5955117382109165,0.4133804782822552,5.484896712005138,6.324362149462103,7.180453985929489,0.11310340796991235,7.1757459081709385,7.327211042866111,1.3082736621940267
2,panda_link4 panda_link5,100,1.955777406692505e-08,2.2351741790771484e-07,5.549369361251593,0.3447528163432977,5.451458971947432,5.8650901541113845,8.010257119312882,0.38865915257803,8.069361094385386,8.184081222862005,1.4802204576626865
3,panda_link4 panda_link5 panda_link6,100,1.955777406692505e-08,2.3725442588329315e-07,5.431982688605785,0.14871322938475168,5.39959454908967,5.649137496948242,8.836233597248793,0.45681749764875845,8.908659685403109,8.944462100043893,1.6498756720363457
4,panda_link4 panda_link5 panda_link6 panda_link7,100,1.955777406692505e-08,2.3725442588329315e-07,5.444208048284054,0.10597843718264591,5.404914729297161,5.629091244190931,9.789092615246773,0.12728127355296948,9.767140727490187,9.831268014386296,1.8070850728777874
5,panda_link4 panda_link5 panda_link6 panda_link7 panda_hand,100,1.955777406692505e-08,2.980232238769531e-07,5.537751317024231,0.3977486297943142,5.4476941004395485,5.816155578941107,10.348824951797724,0.3207772803430384,10.28374582529068,10.454485891386867,1.8877245373342335
6,panda_link4 panda_link5 panda_link6 panda_link7 panda_hand panda_rightfinger,100,1.955777406692505e-08,2.980232238769531e-07,7.64365297742188,0.15642840228156604,7.635952439159155,7.888360554352403,12.257102560251951,0.5174525806660271,12.171394657343626,12.551080901175737,1.59395894020051
7,panda_link4 panda_link5 panda_link6 panda_link7 panda_hand panda_rightfinger panda_leftfinger,100,1.955777406692505e-08,2.980232238769531e-07,7.7917969692498446,0.3146566566428,7.725347299128771,8.187936060130596,12.898566480726004,0.28848279417406336,12.843337375670671,13.220368651673198,1.6624932030070783
8,panda_link4 panda_link5 panda_link6 panda_link7 panda_hand panda_rightfinger panda_leftfinger fork_tip,100,1.955777406692505e-08,2.980232238769531e-07,7.697732262313366,0.17200806745097683,7.683437317609787,7.935528876259923,13.479056376963854,0.23250048205135151,13.427164405584335,13.896074565127492,1.7475465537813932
