t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.004000000189989805,0.012000000104308128,0.0,nan,7.976215362548828,5.91953182220459,14.060697555541992,nan,nan,nan,nan,nan,0.001043193624354899,0.0039220815524458885,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004104910418391228,-9.3802809715271e-05,-0.00300027197226882,0.00012755393981933594,0.0003326642035972327,-1.7881393432617188e-05,-0.00023245811462402344,0.003016346599906683,-8.724892541067675e-05,-0.002192326355725527,8.832717139739543e-05,0.0002583779860287905,-2.408482032478787e-05,-0.00016392934776376933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003016346599906683,-8.724892541067675e-05,-0.002192326355725527,8.832717139739543e-05,0.0002583779860287905,-2.408482032478787e-05,-0.00016392934776376933,0.000600577681325376,-8.284548675874248e-05,-0.0003969224344473332,5.826416327181505e-06,8.442744001513347e-05,-4.065110260853544e-05,-7.074645964166848e-06
0.0019999999999988916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.008999999612569809,0.017000000923871994,0.0,nan,6.720746994018555,7.30142068862915,14.206512451171875,nan,nan,nan,nan,nan,0.0010591034078970551,0.0039220815524458885,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004106997046619654,-8.471310138702393e-05,-0.002991908695548773,0.0001323223114013672,0.0003134676080662757,-1.7881393432617188e-05,-0.00023543834686279297,0.003293078625574708,-8.660550520289689e-05,-0.002395205432549119,9.949011291610077e-05,0.0002723559446167201,-2.2510816052090377e-05,-0.00018207341781817377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003293078625574708,-8.660550520289689e-05,-0.002395205432549119,9.949011291610077e-05,0.0002723559446167201,-2.2510816052090377e-05,-0.00018207341781817377,0.0008115109521895647,-8.31400539027527e-05,-0.0005534699885174632,1.3164125448383857e-05,9.914995462168008e-05,-3.922997711924836e-05,-2.0784227672265843e-05
0.015000000000000568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.008999999612569809,0.013000000268220901,0.0,nan,5.920578956604004,6.00407075881958,12.488734245300293,nan,nan,nan,nan,nan,0.0008546110475435853,0.013347543776035309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002707221545279026,-0.0006815791130065918,0.002853323705494404,0.0014495849609375,-0.0010615502251312137,-0.0009655952453613281,0.0002828240394592285,0.0020549213513731956,-0.000209377845749259,-0.0013121756492182612,0.0003780811093747616,-2.894536009989679e-06,-0.0002171155356336385,-8.614220132585615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020549213513731956,-0.000209377845749259,-0.0013121756492182612,0.0003780811093747616,-2.894536009989679e-06,-0.0002171155356336385,-8.614220132585615e-05,0.0008873998303897679,-9.084471093956381e-05,-0.0005997759290039539,3.5436052712611854e-05,9.292188769904897e-05,-5.008684456697665e-05,-2.477321140759159e-05
0.030000000000001137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.008999999612569809,0.013000000268220901,0.0,nan,4.041404724121094,7.60476016998291,11.944493293762207,nan,nan,nan,nan,nan,0.0008435174240730703,0.011122952215373516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002707221545279026,-0.0006815791130065918,0.002853323705494404,0.0014495849609375,-0.0010615502251312137,-0.0009655952453613281,0.0002828240394592285,0.0010722569422796369,-0.00030681618954986334,-0.0004526281263679266,0.0005991850630380213,-0.00022134730534162372,-0.00037156371399760246,-1.0006308002630249e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010722569422796369,-0.00030681618954986334,-0.0004526281263679266,0.0005991850630380213,-0.00022134730534162372,-0.00037156371399760246,-1.0006308002630249e-05,0.0008986821630969644,-0.00010402606858406216,-0.000590795069001615,6.984327046666294e-05,7.374113920377567e-05,-6.970749382162467e-05,-2.38719439948909e-05
0.04899999999999949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.010999999940395355,0.014999999664723873,0.0,nan,5.790057182312012,9.275369644165039,15.512354850769043,nan,nan,nan,nan,nan,0.0008323884103447199,0.011122952215373516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002707221545279026,-0.0006815791130065918,0.002853323705494404,0.0014495849609375,-0.0010615502251312137,-0.0009655952453613281,0.0002828240394592285,0.00020006956765428185,-0.00039329996798187494,0.0003102838236372918,0.0007954312022775412,-0.00041524029802531004,-0.0005086479359306395,5.756992686656304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020006956765428185,-0.00039329996798187494,0.0003102838236372918,0.0007954312022775412,-0.00041524029802531004,-0.0005086479359306395,5.756992686656304e-05,0.0008499418036080897,-0.00012420797429513186,-0.0005279291071929038,0.00012046569463564083,3.9626156649319455e-05,-0.00010033124999608845,-1.8189954062108882e-05
0.06700000000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.006000000052154064,0.01899999938905239,0.0,nan,3.449411153793335,13.303990364074707,17.038482666015625,nan,nan,nan,nan,nan,0.001333613763563335,0.010135192424058914,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002621646854095161,-0.004138350486755371,0.00019661478290800005,0.00502467155456543,-0.0007476258906535804,0.0007152557373046875,4.589557647705078e-05,7.278767589014024e-05,-0.0014245457714423537,0.0002789836726151407,0.0019600046798586845,-0.0005067667807452381,-0.00017163099255412817,5.4355252359528095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.278767589014024e-05,-0.0014245457714423537,0.0002789836726151407,0.0019600046798586845,-0.0005067667807452381,-0.00017163099255412817,5.4355252359528095e-05,0.000782517425250262,-0.00023702265752945095,-0.0004579229571390897,0.000280060397926718,-7.777795872243587e-06,-0.000106517065432854,-1.189607701235218e-05
0.08099999999999952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.003000000026077032,0.014999999664723873,0.0,nan,5.757256031036377,4.995016098022461,10.938491821289062,nan,nan,nan,nan,nan,0.0013424454955384135,0.0175540242344141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002621646854095161,-0.004138350486755371,0.00019661478290800005,0.00502467155456543,-0.0007476258906535804,0.0007152557373046875,4.589557647705078e-05,-4.509023710852489e-06,-0.00205080839805305,0.00025997546617873013,0.002667235443368554,-0.0005623496836051345,3.303517587482929e-05,5.2403021982172504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.509023710852489e-06,-0.00205080839805305,0.00025997546617873013,0.002667235443368554,-0.0005623496836051345,3.303517587482929e-05,5.2403021982172504e-05,0.0007276086253114045,-0.0003635658649727702,-0.00040783704025670886,0.00044660750427283347,-4.6468860091408715e-05,-9.678085916675627e-05,-7.4100935307797045e-06
0.0940000000000012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0020000000949949026,0.017999999225139618,0.0,nan,3.9057178497314453,5.856777191162109,9.85327434539795,nan,nan,nan,nan,nan,0.002219398273155093,0.0175540242344141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042754909372888505,-0.007754340767860413,0.00020639243302866817,0.007406473159790039,-0.0006642629159614444,0.00179290771484375,4.2319297790527344e-05,-0.00011649022053461522,-0.0035605672746896744,0.00024579171440564096,0.003921739757061005,-0.0005893267225474119,0.000498883833643049,4.973380418960005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011649022053461522,-0.0035605672746896744,0.00024579171440564096,0.003921739757061005,-0.0005893267225474119,0.000498883833643049,4.973380418960005e-05,0.0006579123437404633,-0.0006275384803302586,-0.0003538676828611642,0.0007335450500249863,-9.129198588198051e-05,-4.75975321023725e-05,-2.691790086828405e-06
0.10000000000000142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0010000000474974513,0.012000000104308128,0.0,nan,2.5407159328460693,2.0302422046661377,4.7519402503967285,nan,nan,nan,nan,nan,0.002234581857919693,0.014477545395493507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042754909372888505,-0.007754340767860413,0.00020639243302866817,0.007406473159790039,-0.0006642629159614444,0.00179290771484375,4.2319297790527344e-05,-0.00017669517546892166,-0.004372265189886093,0.00023816604516468942,0.004596204496920109,-0.0006038305000402033,0.0007493400480598211,4.82987379655242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017669517546892166,-0.004372265189886093,0.00023816604516468942,0.004596204496920109,-0.0006038305000402033,0.0007493400480598211,4.82987379655242e-05,0.000610670424066484,-0.0008395041222684085,-0.0003203563392162323,0.0009521861211396754,-0.00012030360085191205,-2.4878572730813175e-06,1.9446638077624812e-07
0.10800000000000054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.007000000216066837,0.006000000052154064,0.0,nan,2.6093740463256836,3.8749213218688965,6.59696102142334,nan,nan,nan,nan,nan,0.0022431949619203806,0.014477545395493507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042754909372888505,-0.007754340767860413,0.00020639243302866817,0.007406473159790039,-0.0006642629159614444,0.00179290771484375,4.2319297790527344e-05,-0.00020357237372081727,-0.0047346302308142185,0.00023476174101233482,0.0048973048105835915,-0.0006103054038248956,0.0008611508528701961,4.765808262163773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020357237372081727,-0.0047346302308142185,0.00023476174101233482,0.0048973048105835915,-0.0006103054038248956,0.0008611508528701961,4.765808262163773e-05,0.0005869546439498663,-0.0009529544040560722,-0.0003041878517251462,0.0010670925257727504,-0.00013457550085149705,2.266666888317559e-05,1.5769018091305043e-06
