t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,monitor_only,contact_stop,h_hard,softmin_gap,h_food,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0020000000949949026,0.017999999225139618,0.0,nan,2.8247759342193604,0.3033159375190735,3.9035584926605225,nan,nan,nan,nan,nan,3.582380304578692e-05,0.00014176017430145293,1.0,0.0,0.0,0.0,1.0,-171.49374389648438,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.513859938830137e-05,-8.158385753631592e-05,0.00011454998457338661,-2.0265579223632812e-05,3.023495082743466e-05,-4.649162292480469e-05,3.9637088775634766e-05,-8.513859938830137e-05,-8.158385753631592e-05,0.00011454998457338661,-2.0265579223632812e-05,3.023495082743466e-05,-4.649162292480469e-05,3.9637088775634766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.513859938830137e-05,-8.158385753631592e-05,0.00011454998457338661,-2.0265579223632812e-05,3.023495082743466e-05,-4.649162292480469e-05,3.9637088775634766e-05,-8.513859938830137e-05,-8.158385753631592e-05,0.00011454998457338661,-2.0265579223632812e-05,3.023495082743466e-05,-4.649162292480469e-05,3.9637088775634766e-05
0.09499999999999886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0010000000474974513,0.01600000075995922,0.0,nan,3.542858123779297,0.9484989643096924,4.592366695404053,nan,nan,nan,nan,nan,2.9561388146248646e-05,0.006292866542935371,1.0,0.0,0.0,0.0,1.0,-171.49374389648438,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.474423571489751e-05,-7.480382919311523e-05,9.219336789101362e-05,-1.3113021850585938e-05,-3.2550451578572392e-06,-5.0067901611328125e-05,2.950429916381836e-05,-7.800854655215517e-05,-7.921350334072486e-05,0.00010673391807358712,-1.776498174876906e-05,1.852655623224564e-05,-4.774191984324716e-05,3.6094574170419946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.800854655215517e-05,-7.921350334072486e-05,0.00010673391807358712,-1.776498174876906e-05,1.852655623224564e-05,-4.774191984324716e-05,3.6094574170419946e-05,-8.452565816696733e-05,-8.13800870673731e-05,0.00011387805716367438,-2.0050611055921763e-05,2.922841304098256e-05,-4.659911064663902e-05,3.9332546293735504e-05
0.1479999999999997,0.0985535979270935,0.12157944589853287,nan,nan,nan,nan,0.2950167655944824,0.0,0.2947387397289276,0.48493409156799316,0.0,0.0,1.0,0.0,0.003000000026077032,0.009999999776482582,100.0,0.10238218307495117,1.854849100112915,2.408728837966919,4.359004974365234,7.794673001626506e-05,-0.0011128295445814729,0.29354798793792725,nan,1.0000001192092896,0.002449888503178954,0.0184328593313694,1.0,0.0,0.0,0.0,0.11063578724861145,0.012082189321517944,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6120029613375664e-05,-0.008884705603122711,-5.144902388565242e-06,0.008014440536499023,-0.0005765780224464834,0.0021660327911376953,4.410743713378906e-05,-5.346498073777184e-05,-0.004314699210226536,5.508205504156649e-05,0.003942777402698994,-0.00029668910428881645,0.0009934580884873867,4.012822682852857e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.346498073777184e-05,-0.004314699210226536,5.508205504156649e-05,0.003942777402698994,-0.00029668910428881645,0.0009934580884873867,4.012822682852857e-05,-8.118546975310892e-05,-0.0005667803925462067,0.00010694810771383345,0.0004463066579774022,-1.2316496395214926e-05,6.97663999744691e-05,3.924273914890364e-05
0.20199999999999818,0.09873194247484207,0.12175779044628143,nan,nan,nan,nan,0.2958025336265564,0.0,0.2953537106513977,0.48634690046310425,0.0,0.0,1.0,0.0,0.004000000189989805,0.00800000037997961,100.0,0.10170004516839981,3.882193088531494,0.5954662561416626,4.561149597167969,0.0001578735827933997,-0.000744955672416836,0.29445087909698486,0.02229306660592556,1.0,0.0032557575032114983,0.014479274861514568,1.0,0.0,0.0,0.0,0.11066596210002899,0.01193401962518692,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3745461627840996e-05,-0.011948011815547943,2.1789164748042822e-05,0.009875297546386719,-0.00044531270395964384,0.003298521041870117,-2.5033950805664062e-05,-4.530970545602031e-05,-0.007874404080212116,2.3232178136822768e-05,0.006772237364202738,-0.0004079443751834333,0.002002726774662733,1.9211356629966758e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.530970545602031e-05,-0.007874404080212116,2.3232178136822768e-05,0.006772237364202738,-0.0004079443751834333,0.002002726774662733,1.9211356629966758e-05,-7.497140177292749e-05,-0.001679825596511364,9.31625472730957e-05,0.0014240224845707417,-7.797908619977534e-05,0.00035852959263138473,3.707233918248676e-05
0.26599999999999824,0.09874648600816727,0.12177233397960663,nan,nan,nan,nan,0.295939177274704,0.0,0.2954888939857483,0.48669078946113586,0.0,0.0,1.0,0.0,0.003000000026077032,0.008999999612569809,100.0,0.10165934264659882,2.259587049484253,1.5779491662979126,3.927009105682373,0.0002494144719094038,-0.00024593507987447083,0.2949935495853424,0.0016159481601789594,1.0,0.0033068149350583553,0.0062358626164495945,1.0,0.0,0.0,0.0,0.1106734424829483,0.011926956474781036,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5904092732816935e-05,-0.011601336300373077,-1.2487289495766163e-05,0.009582042694091797,-0.0005261923070065677,0.0033283233642578125,5.960464477539062e-07,7.867351087043062e-06,-0.00983250979334116,4.4654075281869154e-06,0.00824849121272564,-0.00047007104149088264,0.0026991863269358873,9.430997124582063e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.867351087043062e-06,-0.00983250979334116,4.4654075281869154e-06,0.00824849121272564,-0.00047007104149088264,0.0026991863269358873,9.430997124582063e-06,-6.287577707553282e-05,-0.0030495577957481146,7.812167314114049e-05,0.0025795164983719587,-0.00014560890849679708,0.0007444312795996666,3.260031371610239e-05
0.3200000000000003,0.09762737154960632,0.12065321952104568,nan,nan,nan,nan,0.29239344596862793,0.0,0.29214173555374146,0.4937141537666321,0.0,0.0,1.0,0.0,0.003000000026077032,0.00800000037997961,100.0,0.10195291042327881,2.537905216217041,0.8347434997558594,3.4515130519866943,0.0002596044505480677,0.00015503579925280064,0.29203715920448303,-0.13988929986953735,1.0,0.0029250478837639093,0.0014786842511966825,1.0,0.0,0.0,0.0,0.11065801978111267,0.013030648231506348,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.050127118825912e-06,-0.009229220449924469,4.727226041723043e-05,0.007973909378051758,-0.0005233942647464573,0.0026214122772216797,-2.1755695343017578e-05,1.771607821865473e-05,-0.009804483503103256,1.3008557289140299e-05,0.008308300748467445,-0.0005004546837881207,0.0027430341579020023,-6.255929292819928e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771607821865473e-05,-0.009804483503103256,1.3008557289140299e-05,0.008308300748467445,-0.0005004546837881207,0.0027430341579020023,-6.255929292819928e-06,-4.845239527639933e-05,-0.004268771968781948,6.513809057651088e-05,0.0036062037106603384,-0.0002070677001029253,0.0011023682309314609,2.6588408218231052e-05
0.3550000000000004,0.097713902592659,0.12073975056409836,nan,nan,nan,nan,0.2925242483615875,0.0,0.2924060523509979,0.4960830509662628,0.0,0.0,1.0,0.0,0.004000000189989805,0.00800000037997961,100.0,0.10195291042327881,1.9878344535827637,0.5335109233856201,3.1757614612579346,0.0002643117622938007,0.00024372755433432758,0.292385458946228,0.010816379450261593,1.0,0.002836237894371152,0.004035013262182474,1.0,0.0,0.0,0.0,0.11064650118350983,0.01293259859085083,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012300937669351697,-0.007855147123336792,5.878973752260208e-07,0.006947517395019531,-0.0005432431353256106,0.0022351741790771484,8.046627044677734e-06,7.042780634947121e-05,-0.008828610181808472,6.790548923163442e-06,0.007627067156136036,-0.0005218752776272595,0.0024887898471206427,9.041893918038113e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.042780634947121e-05,-0.008828610181808472,6.790548923163442e-06,0.007627067156136036,-0.0005218752776272595,0.0024887898471206427,9.041893918038113e-07,-2.9912076570326462e-05,-0.005107440520077944,5.5202250223373994e-05,0.004338114522397518,-0.0002611913369037211,0.001355559448711574,2.1793674022774212e-05
0.41199999999999903,0.09779771417379379,0.12082356214523315,nan,nan,nan,nan,0.29263344407081604,0.0,0.2926221489906311,0.4996935725212097,0.0,0.0,1.0,0.0,0.0010000000474974513,0.010999999940395355,100.0,0.10212947428226471,4.657715797424316,0.6739422678947449,5.444709300994873,0.00022899029136169702,0.00025058473693206906,0.2926437258720398,0.0076192342676222324,1.0,0.002542276866734028,0.00781560130417347,1.0,0.0,0.0,0.0,0.11061263084411621,0.012814916670322418,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7663343138992786e-05,-0.005439035594463348,-1.23800418805331e-06,0.005037784576416016,-0.0004200871626380831,0.0014662742614746094,-8.940696716308594e-07,7.49936662032269e-05,-0.00737233879044652,-6.700934136461001e-06,0.0065597109496593475,-0.0005051738116890192,0.002048474969342351,-1.6659198536217446e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49936662032269e-05,-0.00737233879044652,-6.700934136461001e-06,0.0065597109496593475,-0.0005051738116890192,0.002048474969342351,-1.6659198536217446e-06,-8.485101716360077e-06,-0.005658116191625595,4.320301377447322e-05,0.004856272600591183,-0.00031252106418833137,0.00152361870277673,1.7188280253321864e-05
0.4710000000000001,0.09773696959018707,0.12076281756162643,nan,nan,nan,nan,0.29239511489868164,0.0,0.29243120551109314,0.49969977140426636,0.0,0.0,1.0,0.0,0.0020000000949949026,0.009999999776482582,100.0,0.1025899276137352,2.356079339981079,0.588777482509613,3.2430403232574463,0.00022025604266673326,0.0002388717548456043,0.29244980216026306,-0.006074458360671997,1.0,0.0027353328187018633,0.007814274169504642,1.0,0.0,0.0,0.0,0.11059299111366272,0.012856021523475647,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.193725418299437e-05,-0.004330836236476898,-3.83652513846755e-05,0.004212856292724609,-0.00045674078864976764,0.0010478496551513672,-3.874301910400391e-06,7.645038567716256e-05,-0.005650155711919069,-1.916480323416181e-05,0.005224413238465786,-0.000466152501758188,0.0014933914644643664,-2.4517200927220983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.645038567716256e-05,-0.005650155711919069,-1.916480323416181e-05,0.005224413238465786,-0.000466152501758188,0.0014933914644643664,-2.4517200927220983e-06,1.1177377018611878e-05,-0.005807071924209595,2.9660714062629268e-05,0.0050649261102080345,-0.00035236889380030334,0.001566972234286368,1.2394649274938274e-05
0.5,0.09781191498041153,0.12083776295185089,nan,nan,nan,nan,0.29254642128944397,0.0,0.29260730743408203,0.5024791955947876,0.0,0.0,1.0,0.0,0.0010000000474974513,0.004999999888241291,100.0,0.10269590467214584,2.3217742443084717,0.41134655475616455,3.051109552383423,0.00017154922534245998,0.0001577698567416519,0.2925935387611389,0.014989078044891357,1.0000001192092896,0.002592917066067457,0.007997187785804272,1.0,0.0,0.0,0.0,0.11056944727897644,0.012757532298564911,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011071038898080587,-0.0026764720678329468,-6.07017136644572e-05,0.002677440643310547,-0.0003323840210214257,0.0006389617919921875,1.1920928955078125e-06,5.8648111007642e-05,-0.004528634715825319,-1.3389357263804413e-05,0.004299449268728495,-0.0003957542940042913,0.0011732367565855384,-9.658883755037095e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8648111007642e-05,-0.004528634715825319,-1.3389357263804413e-05,0.004299449268728495,-0.0003957542940042913,0.0011732367565855384,-9.658883755037095e-06,1.9383582184673287e-05,-0.005632186308503151,2.248137752758339e-05,0.004973158705979586,-0.00036265183007344604,0.0015120116295292974,8.524602890247479e-06
