seq_idx,DTW,ADE,RotErr,SuccessRate,Dispersion
0,0.845926284807331,1.5349877998232841,7.61837156374416,100.0,0.8164386264979839
3,1.0674398153514975,1.908147893846035,6.472316348901377,75.0,1.5497183427214622
6,0.8729511544076134,1.5729950740933418,5.715226974268018,95.0,1.3048088178038597
9,0.913579349726751,1.673162542283535,5.37386562055195,90.0,1.1355879716575146
12,0.7239726063318022,1.4717796817421913,3.6776965626026152,90.0,1.1032665148377419
15,0.5020113960132849,1.2883801944553852,4.836304549709821,95.0,1.3178059831261635
18,0.6086422628599356,1.4526093378663063,5.7018459530705545,100.0,1.4714482240378857
21,0.8721727415921501,1.7513131722807884,7.525313362923109,100.0,1.257395464926958
24,1.281438819503505,2.6360690593719482,9.640730131153632,80.0,1.3060917146503925
27,1.445333118620103,3.562774881720543,8.39152605623147,80.0,1.2085070833563805
30,0.8987160858658878,1.0584775358438492,4.977594699728118,100.0,0.9366897866129875
33,1.0047594771633122,1.0214542038738728,4.144367981811871,100.0,0.5580270662903786
36,1.2882206643464067,1.1717596091330051,3.887351572888116,95.0,0.6769632454961538
39,1.4146954159376095,1.3599236495792866,4.33754666041815,95.0,0.5357476882636547
42,1.2289264198905885,1.0286370292305946,5.088677938152938,100.0,0.5503239575773478
45,1.1874148445168293,1.05974692851305,5.7703077325065255,100.0,0.3796263365074992
48,0.9116816435347149,0.9619390591979027,4.568811724277195,100.0,0.45192763209342957
51,0.8200403978750234,0.8175618946552277,1.9241424146960253,100.0,0.41335374116897583
54,0.8045678156340916,0.7574825547635555,1.4063192522829686,100.0,0.40661031380295753
57,0.6356739552665867,0.7072422653436661,3.5546170540997037,100.0,0.4923076368868351
60,0.5388158843477887,0.6276609841734171,4.47545914955417,100.0,0.4077944904565811
63,0.9376648042167226,1.1810041032731533,9.660208535552036,100.0,0.3918188624083996
66,0.7981554566785249,1.051731314510107,7.478486016604203,100.0,0.4671831149607897
69,0.8312358970553277,1.0022303089499474,8.488177152611927,100.0,0.265261298045516
72,0.5055183804462172,0.6551304366439581,4.950557609701201,100.0,0.2558613894507289
75,0.39770028214651026,0.47441418282687664,2.23223424720415,100.0,0.2409449080005288
78,0.41783521727936157,0.5151391960680485,2.3669178276074185,100.0,0.23773382417857647
81,0.31041233845565824,0.4253174178302288,3.4995442867889723,100.0,0.20105000585317612
84,0.34864431854313266,0.47458773478865623,3.8103529283054165,100.0,0.21266546100378036
87,0.36965868582350103,0.4828658886253834,3.13678592467786,100.0,0.20852028392255306
90,0.28766027533072847,0.34695558715611696,2.7702496787177915,100.0,0.21558620501309633
93,0.28243752828562546,0.3767133457586169,2.3581452749872227,100.0,0.21081988234072924
96,0.3102361006270602,0.42352345772087574,3.1803826639102732,100.0,0.23453687317669392
99,0.320404877069376,0.377792795188725,3.0500333719983415,100.0,0.22441709879785776
102,0.32058852228653106,0.46058082953095436,2.6162063443110277,100.0,0.2846796764060855
105,0.36171282698749807,0.5476834252476692,2.2789922934262257,100.0,0.2652919851243496
108,0.3577828951998169,0.5450830794870853,2.5393284516560937,100.0,0.3495727200061083
111,0.6974261931765868,1.0890018194913864,3.363522171474139,95.0,0.9933376684784889
114,0.8439635310150484,1.5813745558261871,4.333130133228684,95.0,1.4328953810036182
117,1.020694190153187,2.2231288254261017,5.529192946246897,95.0,2.074589766561985
120,1.2821906372552803,2.5028159841895103,5.218831404231808,100.0,1.9856225699186325
123,1.2366576985489663,2.227559871971607,4.797895921055619,95.0,1.9363382831215858
126,1.4181961664353653,1.7536327242851257,3.9067284044978328,95.0,1.686747930943966
129,1.3427635482479854,1.4060241170227528,4.071462211856074,90.0,1.341464091092348
132,1.5289087555861118,1.37990340590477,4.7013168888770025,85.0,1.1181306093931198
135,1.6965680530050462,1.4830264262855053,4.310669202736696,80.0,1.2368766590952873
138,2.168548247343987,1.7453063279390335,3.962090784500023,45.0,0.9282492101192474
141,2.619576347078682,2.0677607506513596,2.891740816013737,15.0,0.7776095066219568
144,2.5809858500756224,1.8843449652194977,2.749681496464155,30.0,1.0596653446555138
147,1.9801905476307022,1.4775475487113,2.580755399996786,40.0,0.7314166985452175
150,2.011075617158553,1.7389647662639618,3.386758668499332,50.0,1.14572299644351
153,2.299936942088306,1.829507201910019,4.0649712640134865,30.0,1.089639775454998
156,2.3024003976892806,1.8098549917340279,3.488128904043615,25.0,1.1968374252319336
159,2.503892344451707,2.1932102739810944,3.5784987726123356,10.0,1.1735190637409687
162,2.588718687176041,2.543601021170616,3.6263964778738513,5.0,0.992641132324934
165,2.8003465246052945,3.088691458106041,3.440939761808535,0.0,1.4624059200286865
168,2.7283149791231787,3.111390769481659,3.7166305162970104,5.0,1.4290699735283852
171,2.3369261464170563,2.7456706389784813,3.452815049784255,30.0,1.2340319342911243
174,1.6688420272626043,1.7287995666265488,3.081843843166505,65.0,1.0747266933321953
177,1.6999183005897904,1.777580939233303,4.244495492537381,75.0,1.3669771142303944
180,1.4998664000176252,1.4800471253693104,4.0212415647408815,90.0,0.9976602159440517
183,2.4511600065618846,2.6840170845389366,6.843035284941085,25.0,1.3173666782677174
186,0.5483890662512833,0.43993997387588024,15.384632020480169,50.0,0.338517501950264
189,0.5391408709158892,0.40778438560664654,14.261379197880796,60.0,0.3085124772042036
192,0.6012544487748653,0.45488374307751656,13.511192550032977,70.0,0.23841154761612415
195,0.5039760346650864,0.3790429560467601,10.38096561353814,95.0,0.2635277109220624
198,0.5756224767771032,0.43487679213285446,9.362317858549066,80.0,0.24610161781311035
201,0.5012519825309626,0.39850352331995964,6.101566003538615,100.0,0.2536722691729665
204,0.677413127838183,0.5306140519678593,4.321884953170747,100.0,0.24396316148340702
207,0.7322003963906074,0.5913547240197659,4.1439224750135395,100.0,0.26715367566794157
210,0.6923698908160256,0.6638246588408947,4.439675778298577,100.0,0.26285292115062475
213,0.5365576098285678,0.5225391127169132,3.737350699419087,100.0,0.2054051961749792
216,0.30609121535724704,0.4036650527268648,4.528156493946353,100.0,0.21923223976045847
219,0.2652842134601276,0.2751291496679187,3.967028255515993,100.0,0.18815211951732635
222,0.23179529872657548,0.2227970864623785,3.6277448950580173,100.0,0.17106523737311363
225,0.225508539422841,0.2199743641540408,3.458584714474906,100.0,0.17039428930729628
228,0.22303291539217526,0.2318482380360365,4.557094639180565,100.0,0.18669161945581436
231,0.23215117481487016,0.240403413772583,3.0428851854732932,100.0,0.2168701495975256
234,0.3096614053870344,0.35973861813545227,3.9741302270558334,100.0,0.3271793248131871
237,0.24006556493362105,0.2951017115265131,2.835784292048494,100.0,0.24949347134679556
240,0.22799591422236576,0.2702565863728523,2.187149486524109,100.0,0.19498225301504135
243,0.27980131911379297,0.39321519434452057,1.9568699438760393,100.0,0.23219685535877943
246,0.20485046734986878,0.22718533873558044,1.278937410659241,100.0,0.17328240210190415
249,0.2280781887353026,0.24540466256439686,1.4796268994683008,100.0,0.17404230311512947
252,0.21632783212304266,0.21736561320722103,1.4488399127041538,100.0,0.15609071124345064
