seq_idx,ADE,FDE,RotErr,SuccessRate,Dispersion
0,7.968249171972275,11.071238666772842,7.220252001860023,0.0,2.573607489466667
62,6.370498985052109,8.864014595746994,11.72397592637034,0.0,2.0142946392297745
124,8.410246670246124,13.61859142780304,4.170916582547667,0.0,1.7535513266921043
187,7.944824546575546,10.427480936050415,11.812037302911747,0.0,2.5617454200983047
249,6.978611648082733,8.839071542024612,12.601594798997441,0.0,1.9043173640966415
311,5.791401118040085,8.53421464562416,6.7491845380386435,0.0,1.6545016318559647
374,10.491794347763062,9.721670299768448,8.090279510835668,0.0,1.647976040840149
436,10.238046944141388,12.943734228610992,7.800607009711041,0.0,1.4120811596512794
498,10.164568573236465,15.471184253692627,12.693797763805232,0.0,1.3746117241680622
561,10.533132404088974,9.191206097602844,8.50458853238674,0.0,1.5062382444739342
623,9.650076925754547,12.201978266239166,8.026983611268914,0.0,1.781744323670864
685,9.457908570766449,13.960686326026917,9.329085725506392,0.0,1.7547110095620155
748,3.1040728092193604,4.880893230438232,10.047974884565523,0.0,1.6167204827070236
810,7.812965661287308,9.629694372415543,19.32876073270164,0.0,2.282693050801754
872,7.500692456960678,8.773698657751083,13.769317485216789,0.0,1.4410821720957756
935,11.582089960575104,18.386703729629517,17.348268984174588,0.0,1.6583394259214401
997,10.81697791814804,9.656087309122086,8.346390495362629,0.0,1.7970504239201546
1059,7.019023597240448,9.050868451595306,8.056262717771357,0.0,2.0519059151411057
1122,4.655509814620018,5.984541028738022,6.086007451826968,0.0,2.1357059478759766
1184,9.92875024676323,8.095861226320267,8.318484167185215,0.0,1.6937080770730972
1246,8.078011870384216,10.725259780883789,16.186420525142672,0.0,1.6748014837503433
1309,5.691460520029068,9.009776264429092,19.62805332746895,0.0,1.526826899498701
1371,4.4726889580488205,6.372586637735367,7.280423188791215,0.0,1.961413398385048
1433,7.562883198261261,9.182031452655792,8.436680678124405,0.0,2.531418204307556
1496,7.600099593400955,10.296767950057983,6.685391323500947,0.0,2.040526457130909
1558,2.5221407413482666,3.105742298066616,8.553181177330567,20.0,1.673489436507225
1620,7.77520090341568,9.836819767951965,15.527191392956533,0.0,2.17885784804821
1683,7.002826035022736,9.6550814807415,7.02540615970918,0.0,2.0619021728634834
1745,3.638715296983719,6.279680132865906,7.723464730273363,0.0,1.7712151631712914
1808,15.798461437225342,15.682569146156311,11.979247363252064,0.0,1.424386166036129
