t,h,h_corr,lam,cap_active,recovery_used,grad_degenerate,constr_pre,repair_applied,constr_final,grad_h_norm,escape_active,ema_applied,velocity_filter_active,vel_source,velocity_age,dt,selected_count,min_obs_dist,cbf_ms,q_cmd_ms,total_ms,cmd_hdot,real_hdot,real_constr,h_rate,alignment,q_lead,dq_real_norm,active_constraints,solver_mode,monitor_only,contact_stop,dq_ff_0,dq_ff_1,dq_ff_2,dq_ff_3,dq_ff_4,dq_ff_5,dq_ff_6,dq_fb_0,dq_fb_1,dq_fb_2,dq_fb_3,dq_fb_4,dq_fb_5,dq_fb_6,dq_base_0,dq_base_1,dq_base_2,dq_base_3,dq_base_4,dq_base_5,dq_base_6,dq_escape_0,dq_escape_1,dq_escape_2,dq_escape_3,dq_escape_4,dq_escape_5,dq_escape_6,dq_cbf_delta_0,dq_cbf_delta_1,dq_cbf_delta_2,dq_cbf_delta_3,dq_cbf_delta_4,dq_cbf_delta_5,dq_cbf_delta_6,dq_pre_filter_0,dq_pre_filter_1,dq_pre_filter_2,dq_pre_filter_3,dq_pre_filter_4,dq_pre_filter_5,dq_pre_filter_6,dq_final_0,dq_final_1,dq_final_2,dq_final_3,dq_final_4,dq_final_5,dq_final_6
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.0,0.0020000000949949026,0.0,nan,2.3481059074401855,1.5987358093261719,4.076630592346191,nan,nan,nan,nan,nan,0.0010384698398411274,5.513500946108252e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150677006691694,-4.641711711883545e-05,0.003088332712650299,-0.0001895427703857422,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.004150676541030407,-4.641711348085664e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150676541030407,-4.641711348085664e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.004150676541030407,-4.641711348085664e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023
0.010000000000001563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.010999999940395355,0.010999999940395355,0.0,nan,2.1087591648101807,1.6046538352966309,3.829024314880371,nan,nan,nan,nan,nan,0.0010384698398411274,4.547217395156622e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150677006691694,-4.641711711883545e-05,0.003088332712650299,-0.0001895427703857422,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.004150676541030407,-4.6417109842877835e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150676541030407,-4.6417109842877835e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.00415067607536912,-4.641711348085664e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023
0.06299999999999883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,0.0,0.009999999776482582,0.012000000104308128,0.0,nan,3.0754668712615967,2.3862171173095703,14.023801803588867,nan,nan,nan,nan,nan,0.0010384698398411274,0.009785938076674938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150677006691694,-4.641711711883545e-05,0.003088332712650299,-0.0001895427703857422,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.004150676541030407,-4.6417109842877835e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004150676541030407,-4.6417109842877835e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023,-0.00415067607536912,-4.641711348085664e-05,0.003088332712650299,-0.00018954275583382696,-0.00027431268244981766,1.5497207641601562e-05,0.00028461217880249023
0.08699999999999974,0.15543942153453827,0.1600445955991745,nan,nan,nan,nan,0.4656703472137451,0.0,0.4656372666358948,0.577799379825592,0.0,0.0,1.0,0.0,0.0,0.04500000178813934,100.0,0.15201428532600403,3.169257164001465,2.6329238414764404,5.9682793617248535,0.00031900740577839315,0.0004601266700774431,0.4657783806324005,nan,1.0,0.0004332541429903358,0.01190155278891325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.770555723458529e-05,-0.0005836784839630127,-1.6486883396282792e-05,0.0014674663543701172,-0.0010064826346933842,-0.0010561943054199219,3.606081008911133e-05,-0.0033030002377927303,-0.0001538693904876709,0.0024673689622431993,0.00014185906911734492,-0.00042074668454006314,-0.00019884109497070312,0.00023490190505981445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033030002377927303,-0.0001538693904876709,0.0024673689622431993,0.00014185906911734492,-0.00042074668454006314,-0.00019884109497070312,0.00023490190505981445,-0.00410081259906292,-5.2737836085725576e-05,0.003051805542781949,-0.0001700485299807042,-0.00028292645583860576,2.8890724479424534e-06,0.0002816880587488413
0.09600000000000009,0.15551865100860596,0.1601238250732422,nan,nan,nan,nan,0.4658275544643402,0.0,0.46587246656417847,0.5798912644386292,0.0,0.0,1.0,0.0,0.004000000189989805,0.024000000208616257,100.0,0.15125855803489685,3.8743340969085693,2.662252187728882,6.654503345489502,0.0003164942318107933,0.00034193863393738866,0.46589791774749756,0.0033012281637638807,1.0,0.0013047009706497192,0.018545882776379585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573585905134678e-05,-0.004032813012599945,6.432659574784338e-05,0.004937648773193359,-0.0006941104074940085,0.0005674362182617188,6.467103958129883e-05,-0.0022266535088419914,-0.0014119050465524197,0.001688003889285028,0.0016972501762211323,-0.0005094051593914628,4.968125722371042e-05,0.00017969189502764493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022266535088419914,-0.0014119050465524197,0.001688003889285028,0.0016972501762211323,-0.0005094051593914628,4.968125722371042e-05,0.00017969189502764493,-0.003900009673088789,-0.00019836288993246853,0.0029056838247925043,3.0019196856301278e-05,-0.00030719200731255114,7.90252033766592e-06,0.0002707598905544728
0.10000000000000142,0.15551400184631348,0.1601191759109497,nan,nan,nan,nan,0.4657973349094391,0.0,0.4658583402633667,0.5810891389846802,0.0,0.0,1.0,0.0,0.0,0.00800000037997961,100.0,0.15125855803489685,1.9208369255065918,1.259523868560791,3.3380086421966553,0.0003163284854963422,0.0003246772685088217,0.46586668491363525,-0.0005811452283523977,1.0000001192092896,0.0021737173665314913,0.018545882776379585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961963324807584e-05,-0.007685720920562744,-5.0210655899718404e-05,0.007342100143432617,-0.0005802233936265111,0.0017690658569335938,1.6391277313232422e-05,-0.0019113054731860757,-0.0022772590164095163,0.0014482500264421105,0.002475850284099579,-0.0005191731615923345,0.00028683774871751666,0.00015716766938567162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019113054731860757,-0.0022772590164095163,0.0014482500264421105,0.002475850284099579,-0.0005191731615923345,0.00028683774871751666,0.00015716766938567162,-0.0038235210813581944,-0.00027832042542286217,0.002849628683179617,0.00012408962356857955,-0.00031534512527287006,1.8630798876984045e-05,0.0002663909690454602
0.10900000000000176,0.15551400184631348,0.1601191759109497,nan,nan,nan,nan,0.4657840132713318,0.0,0.4658561944961548,0.5810891389846802,0.0,0.0,1.0,0.0,0.006000000052154064,0.006000000052154064,100.0,0.15125855803489685,2.839240312576294,3.6532938480377197,6.676482200622559,0.0003141635097563267,0.0003246772685088217,0.46586668491363525,0.0,1.0000001192092896,0.0021790063474327326,0.018545882776379585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961963324807584e-05,-0.007685720920562744,-5.0210655899718404e-05,0.007342100143432617,-0.0005802233936265111,0.0017690658569335938,1.6391277313232422e-05,-0.0017001349478960037,-0.0028567370027303696,0.0012877007247880101,0.002997233998030424,-0.0005257142474874854,0.00044564789277501404,0.00014208449283614755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017001349478960037,-0.0028567370027303696,0.0012877007247880101,0.002997233998030424,-0.0005257142474874854,0.00044564789277501404,0.00014208449283614755,-0.0037616747431457043,-0.00035341992042958736,0.0028041354380548,0.00020777343888767064,-0.00032147238380275667,3.106818985543214e-05,0.00026277039432898164
0.125,0.15551400184631348,0.1601191759109497,nan,nan,nan,nan,0.46576249599456787,0.0,0.4658508896827698,0.5810891389846802,0.0,0.0,1.0,0.0,0.004999999888241291,0.012000000104308128,100.0,0.15073613822460175,2.633148431777954,4.139682769775391,6.965189456939697,0.0003088611410930753,0.0002677752054296434,0.46580979228019714,0.0,1.0,0.0021938434801995754,0.015295573510229588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961963324807584e-05,-0.007685720920562744,-5.0210655899718404e-05,0.007342100143432617,-0.0005802233936265111,0.0017690658569335938,1.6391277313232422e-05,-0.0013595372438430786,-0.0037913788110017776,0.001028750091791153,0.0038381756749004126,-0.0005362643860280514,0.000701793294865638,0.00011775677558034658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013595372438430786,-0.0037913788110017776,0.001028750091791153,0.0038381756749004126,-0.0005362643860280514,0.000701793294865638,0.00011775677558034658,-0.003625704674050212,-0.0005480214022099972,0.0027036420069634914,0.00041326790233142674,-0.0003336304216645658,6.903376197442412e-05,0.0002545620664022863
0.13200000000000145,0.1555096060037613,0.16011478006839752,nan,nan,nan,nan,0.4657442271709442,0.0,0.4658339321613312,0.5816664099693298,0.0,0.0,1.0,0.0,0.006000000052154064,0.013000000268220901,100.0,0.15073613822460175,2.6688272953033447,2.5724260807037354,5.421708106994629,0.0003050871309824288,0.00015604199143126607,0.4656848907470703,-0.0003381417191121727,1.0,0.002830044599249959,0.01962444558739662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000778788817115128,-0.010377466678619385,-0.0008360561332665384,0.008962154388427734,-0.00046823392040096223,0.002676248550415039,-3.814697265625e-05,-0.0009182954090647399,-0.005150413140654564,0.0006439487915486097,0.00489550456404686,-0.0005222263862378895,0.001109220553189516,8.558616536902264e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009182954090647399,-0.005150413140654564,0.0006439487915486097,0.00489550456404686,-0.0005222263862378895,0.001109220553189516,8.558616536902264e-05,-0.003460463834926486,-0.0008289185352623463,0.0025779330171644688,0.0006868316559121013,-0.0003451409575063735,0.00013251934433355927,0.0002442489785607904
0.14300000000000068,0.1565430909395218,0.16114826500415802,nan,nan,nan,nan,0.4687085449695587,0.0,0.4688909947872162,0.5784677863121033,0.0,0.0,1.0,0.0,0.004999999888241291,0.012000000104308128,100.0,0.15078780055046082,2.1731691360473633,1.8004286289215088,4.210337162017822,0.0002616802230477333,0.0003386288299225271,0.46896791458129883,0.0861237496137619,0.9999998807907104,0.00285095046274364,0.016353704035282135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000778788817115128,-0.010377466678619385,-0.0008360561332665384,0.008962154388427734,-0.00046823392040096223,0.002676248550415039,-3.814697265625e-05,-0.0005898274830542505,-0.006162100937217474,0.0003574962611310184,0.0056825983338057995,-0.0005117762484587729,0.001412516226992011,6.16378165432252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005898274830542505,-0.006162100937217474,0.0003574962611310184,0.0056825983338057995,-0.0005117762484587729,0.001412516226992011,6.16378165432252e-05,-0.003297975054010749,-0.0011307967361062765,0.002452247776091099,0.0009696109336800873,-0.000354573130607605,0.00020497200603131205,0.00023391250579152256
